horizon,MSE,MAE,NSE,RMSE
1,1.2818799,0.29316637,0.8829653784632683,1.1322013
2,2.2364483,0.406271,0.7958289086818695,1.4954759
3,2.7594945,0.48742154,0.7481295466423035,1.6611726
4,3.100223,0.5438907,0.7171660661697388,1.760745
5,3.4096289,0.59094304,0.6892924010753632,1.846518
6,3.6292408,0.62365365,0.6696100831031799,1.9050566
7,3.776422,0.64995515,0.6565336287021637,1.9433018
8,3.888155,0.6755782,0.6462912261486053,1.9718405
9,3.967546,0.6930687,0.6389184594154358,1.9918699
10,4.0411854,0.70700777,0.632066160440445,2.0102699
