number,value,best_epoch,train_size,val_size,test_size,input_length,hidden_size,dropout,learning_rate,num_attention_heads,lstm_layers,attn_dropout,add_relative_index,use_revin,context_length_ratio,use_embedding_for_context,encoder_layers
0,0.06065189093351364,29,52218,24793,24813,155,128,0.36599697090570255,0.00015751320499779721,2,1,0.017425083650459836,True,True,0.9849549260809971,True,1
2,0.05416213348507881,37,50954,23529,23549,234,48,0.03252579649263976,0.000790261954970823,8,3,0.0913841307520112,False,True,0.7475884550556351,False,1
3,0.05523531511425972,88,50666,23241,23261,252,64,0.2600340105889054,0.00012399967836846095,2,3,0.23253984700833435,True,False,0.5442462510259598,True,1
5,0.05837911739945412,50,50314,22889,22909,274,112,0.03702232586704518,5.211124595788268e-05,1,3,0.18698943804826737,True,False,0.864803089169032,False,2
7,0.05972825363278389,100,52890,25465,25485,113,72,0.37777556927152434,2.8681134821030064e-05,1,1,0.04836638617620132,True,False,0.9018360384495572,False,2
9,0.06272299587726593,55,52490,25065,25085,138,80,0.3515094794475889,5.336533066379606e-05,8,3,0.07553468874760924,True,True,0.8047821669899484,True,1
12,0.05682414397597313,33,50858,23433,23453,240,56,0.24064424648301133,0.00033720392867903786,4,3,0.21927339069102475,False,False,0.7062800526645507,True,1
13,0.05255868658423424,62,51658,24233,24253,190,48,0.09262986969204212,0.0002993620086989372,8,3,0.12346441473728025,False,False,0.5125053734835204,True,1
14,0.054955657571554184,64,51482,24057,24077,201,40,0.08502081117976344,0.0003224637660049078,8,3,0.1247845074976757,False,False,0.7269657407459087,False,2
