,horizon,prediction,observed,basin_id
154,5,1.1399465,0.77,CA_15013
155,6,1.1757729,0.77,CA_15013
156,7,1.2101452,0.77,CA_15013
157,8,1.2394933,0.76,CA_15013
158,9,1.2653579,0.76,CA_15013
159,10,1.2891507,0.89,CA_15013
160,1,0.953738,0.78999996,CA_15013
161,2,0.9864304,0.78,CA_15013
162,3,1.0167048,0.78,CA_15013
163,4,1.0486131,0.77,CA_15013
164,5,1.0756,0.77,CA_15013
165,6,1.103911,0.77,CA_15013
166,7,1.135213,0.76,CA_15013
167,8,1.1642753,0.76,CA_15013
168,9,1.1923362,0.89,CA_15013
169,10,1.2210249,0.75,CA_15013
170,1,1.0204011,0.78,CA_15013
171,2,1.0734128,0.78,CA_15013
172,3,1.1250079,0.77,CA_15013
173,4,1.1777176,0.77,CA_15013
174,5,1.2233341,0.77,CA_15013
175,6,1.2685553,0.76,CA_15013
176,7,1.316564,0.76,CA_15013
177,8,1.3597353,0.89,CA_15013
178,9,1.4001667,0.75,CA_15013
179,10,1.4398701,0.89,CA_15013
180,1,0.93389493,0.78,CA_15013
181,2,0.9760987,0.77,CA_15013
182,3,1.0171283,0.77,CA_15013
183,4,1.0623823,0.77,CA_15013
184,5,1.1011797,0.76,CA_15013
185,6,1.140572,0.76,CA_15013
186,7,1.1845726,0.89,CA_15013
187,8,1.2266076,0.75,CA_15013
188,9,1.2680016,0.89,CA_15013
189,10,1.3091027,1.0300001,CA_15013
190,1,0.9498787,0.77,CA_15013
191,2,1.014089,0.77,CA_15013
192,3,1.077757,0.77,CA_15013
193,4,1.144155,0.76,CA_15013
194,5,1.1990461,0.76,CA_15013
195,6,1.2522995,0.89,CA_15013
196,7,1.3071593,0.75,CA_15013
197,8,1.3573275,0.89,CA_15013
198,9,1.4040744,1.0300001,CA_15013
199,10,1.4483829,1.17,CA_15013
200,1,0.9081259,0.77,CA_15013
201,2,0.9567329,0.77,CA_15013
202,3,1.0073212,0.76,CA_15013
203,4,1.0630585,0.76,CA_15013
204,5,1.1109935,0.89,CA_15013
205,6,1.1598855,0.75,CA_15013
206,7,1.212854,0.89,CA_15013
207,8,1.2624635,1.0300001,CA_15013
208,9,1.3098397,1.17,CA_15013
209,10,1.3564361,1.3,CA_15013
210,1,0.900766,0.77,CA_15013
211,2,0.96846175,0.76,CA_15013
212,3,1.0399379,0.76,CA_15013
213,4,1.1151617,0.89,CA_15013
214,5,1.1792207,0.75,CA_15013
215,6,1.2425957,0.89,CA_15013
216,7,1.305736,1.0300001,CA_15013
217,8,1.3609879,1.17,CA_15013
218,9,1.4110594,1.3,CA_15013
219,10,1.4594773,2.06,CA_15013
220,1,0.9082909,0.76,CA_15013
221,2,0.9666966,0.76,CA_15013
222,3,1.026266,0.89,CA_15013
223,4,1.0864714,0.75,CA_15013
224,5,1.1361432,0.89,CA_15013
225,6,1.1860644,1.0300001,CA_15013
226,7,1.2351742,1.17,CA_15013
227,8,1.2767568,1.3,CA_15013
228,9,1.3134855,2.06,CA_15013
229,10,1.3499204,2.48,CA_15013
230,1,0.93619984,0.76,CA_15013
231,2,1.0394801,0.89,CA_15013
232,3,1.1491398,0.75,CA_15013
233,4,1.2626015,0.89,CA_15013
234,5,1.359544,1.0300001,CA_15013
235,6,1.4537661,1.17,CA_15013
236,7,1.5434359,1.3,CA_15013
237,8,1.6169832,2.06,CA_15013
238,9,1.6809597,2.48,CA_15013
239,10,1.7426834,2.48,CA_15013
240,1,0.91617984,0.89,CA_15013
241,2,0.99995077,0.75,CA_15013
242,3,1.0907694,0.89,CA_15013
243,4,1.1850716,1.0300001,CA_15013
244,5,1.2665625,1.17,CA_15013
245,6,1.3452426,1.3,CA_15013
246,7,1.4190238,2.06,CA_15013
247,8,1.4787337,2.48,CA_15013
248,9,1.5298338,2.48,CA_15013
249,10,1.5779707,3.0799997,CA_15013
250,1,1.0330302,0.75,CA_15013
251,2,1.1422793,0.89,CA_15013
252,3,1.2601006,1.0300001,CA_15013
253,4,1.3822196,1.17,CA_15013
254,5,1.4875536,1.3,CA_15013
255,6,1.5880861,2.06,CA_15013
256,7,1.6815397,2.48,CA_15013
257,8,1.755516,2.48,CA_15013
258,9,1.8175976,3.0799997,CA_15013
259,10,1.8756317,3.63,CA_15013
260,1,0.91360766,0.89,CA_15013
261,2,0.99723005,1.0300001,CA_15013
262,3,1.0881482,1.17,CA_15013
263,4,1.183073,1.3,CA_15013
264,5,1.262747,2.06,CA_15013
265,6,1.3389337,2.48,CA_15013
266,7,1.4111056,2.48,CA_15013
267,8,1.4708762,3.0799997,CA_15013
268,9,1.522076,3.63,CA_15013
269,10,1.572103,2.9299996,CA_15013
270,1,1.1243397,1.0300001,CA_15013
271,2,1.1927401,1.17,CA_15013
272,3,1.2731767,1.3,CA_15013
273,4,1.362852,2.06,CA_15013
274,5,1.4390024,2.48,CA_15013
275,6,1.5142801,2.48,CA_15013
276,7,1.5896399,3.0799997,CA_15013
