horizon,MSE,MAE,NSE,RMSE
1,0.04685302,0.088736504,0.9747010469436646,0.21645558
2,0.08245259,0.12003775,0.9555035419762135,0.28714558
3,0.115580596,0.14638528,0.937662310898304,0.33997145
4,0.14586322,0.1679967,0.9213763996958733,0.38192043
5,0.17306574,0.18649614,0.9067699536681175,0.4160117
6,0.19742964,0.2024606,0.893706277012825,0.44433054
7,0.21924604,0.21627614,0.8820331990718842,0.46823716
8,0.23956761,0.22837861,0.8711863607168198,0.48945644
9,0.25822175,0.23932035,0.8612522184848785,0.5081552
10,0.27493316,0.24918453,0.8523754179477692,0.5243407
