,horizon,prediction,observed,basin_id
154,5,1.2404997,0.77,CA_15013
155,6,1.351412,0.77,CA_15013
156,7,1.4540727,0.77,CA_15013
157,8,1.5447011,0.76,CA_15013
158,9,1.6184675,0.76,CA_15013
159,10,1.6811738,0.89,CA_15013
160,1,0.91451186,0.78999996,CA_15013
161,2,0.97319525,0.78,CA_15013
162,3,1.0585724,0.78,CA_15013
163,4,1.1631739,0.77,CA_15013
164,5,1.2805701,0.77,CA_15013
165,6,1.3946607,0.77,CA_15013
166,7,1.5030404,0.76,CA_15013
167,8,1.5922873,0.76,CA_15013
168,9,1.666148,0.89,CA_15013
169,10,1.7249663,0.75,CA_15013
170,1,0.9153417,0.78,CA_15013
171,2,0.9693406,0.78,CA_15013
172,3,1.0458541,0.77,CA_15013
173,4,1.140717,0.77,CA_15013
174,5,1.2503066,0.77,CA_15013
175,6,1.3522412,0.76,CA_15013
176,7,1.4509146,0.76,CA_15013
177,8,1.5276933,0.89,CA_15013
178,9,1.594761,0.75,CA_15013
179,10,1.6439011,0.89,CA_15013
180,1,0.8914498,0.78,CA_15013
181,2,0.94102037,0.77,CA_15013
182,3,1.0054393,0.77,CA_15013
183,4,1.0850744,0.77,CA_15013
184,5,1.1795479,0.76,CA_15013
185,6,1.2640481,0.76,CA_15013
186,7,1.347547,0.89,CA_15013
187,8,1.4070114,0.75,CA_15013
188,9,1.4606835,0.89,CA_15013
189,10,1.4968944,1.0300001,CA_15013
190,1,0.9412611,0.77,CA_15013
191,2,0.9853013,0.77,CA_15013
192,3,1.0367982,0.77,CA_15013
193,4,1.101856,0.76,CA_15013
194,5,1.1822996,0.76,CA_15013
195,6,1.2519466,0.89,CA_15013
196,7,1.3213456,0.75,CA_15013
197,8,1.3650702,0.89,CA_15013
198,9,1.4077108,1.0300001,CA_15013
199,10,1.4346701,1.17,CA_15013
200,1,0.8699971,0.77,CA_15013
201,2,0.8982616,0.77,CA_15013
202,3,0.9371764,0.76,CA_15013
203,4,0.9860216,0.76,CA_15013
204,5,1.044029,0.89,CA_15013
205,6,1.100901,0.75,CA_15013
206,7,1.1560392,0.89,CA_15013
207,8,1.1962396,1.0300001,CA_15013
208,9,1.2338133,1.17,CA_15013
209,10,1.2631154,1.3,CA_15013
210,1,0.8557665,0.77,CA_15013
211,2,0.8897021,0.76,CA_15013
212,3,0.936509,0.76,CA_15013
213,4,0.9937647,0.89,CA_15013
214,5,1.0574656,0.75,CA_15013
215,6,1.1246972,0.89,CA_15013
216,7,1.1887603,1.0300001,CA_15013
217,8,1.2402308,1.17,CA_15013
218,9,1.2859619,1.3,CA_15013
219,10,1.3263922,2.06,CA_15013
220,1,0.9421639,0.76,CA_15013
221,2,0.9589344,0.76,CA_15013
222,3,0.9857625,0.89,CA_15013
223,4,1.0225211,0.75,CA_15013
224,5,1.0673107,0.89,CA_15013
225,6,1.1169174,1.0300001,CA_15013
226,7,1.1645595,1.17,CA_15013
227,8,1.2010256,1.3,CA_15013
228,9,1.234659,2.06,CA_15013
229,10,1.2650566,2.48,CA_15013
230,1,0.9385965,0.76,CA_15013
231,2,0.99037266,0.89,CA_15013
232,3,1.0615687,0.75,CA_15013
233,4,1.1463014,0.89,CA_15013
234,5,1.239258,1.0300001,CA_15013
235,6,1.3362832,1.17,CA_15013
236,7,1.4258572,1.3,CA_15013
237,8,1.4986075,2.06,CA_15013
238,9,1.562638,2.48,CA_15013
239,10,1.6190209,2.48,CA_15013
240,1,0.90440464,0.89,CA_15013
241,2,0.9437151,0.75,CA_15013
242,3,0.9928739,0.89,CA_15013
243,4,1.0564959,1.0300001,CA_15013
244,5,1.1261295,1.17,CA_15013
245,6,1.200676,1.3,CA_15013
246,7,1.2704326,2.06,CA_15013
247,8,1.3264495,2.48,CA_15013
248,9,1.3751161,2.48,CA_15013
249,10,1.4208591,3.0799997,CA_15013
250,1,0.9838696,0.75,CA_15013
251,2,1.039093,0.89,CA_15013
252,3,1.1050887,1.0300001,CA_15013
253,4,1.1895816,1.17,CA_15013
254,5,1.2812176,1.3,CA_15013
255,6,1.3800417,2.06,CA_15013
256,7,1.4728248,2.48,CA_15013
