horizon,MSE,MAE,NSE,RMSE
1,0.04823989,0.088186346,0.9739521890878677,0.21963581
2,0.082612224,0.11840012,0.9554173909127712,0.28742343
3,0.11468516,0.14453976,0.9381452612578869,0.33865198
4,0.14433993,0.16610868,0.9221974834799767,0.37992096
5,0.17003247,0.1846123,0.9084039628505707,0.41234994
6,0.19338216,0.20049118,0.8958853855729103,0.43975237
7,0.21492553,0.21424471,0.8843578845262527,0.4636006
8,0.23426466,0.22619626,0.8740377128124237,0.48400894
9,0.25214395,0.23707776,0.8645179569721222,0.5021394
10,0.268959,0.24735378,0.8555832356214523,0.51861256
