horizon,MSE,MAE,NSE,RMSE
1,0.050285436,0.09353159,0.9728476665914059,0.22424415
2,0.08455072,0.12228785,0.9543712623417377,0.29077607
3,0.11753659,0.14772351,0.9366073608398438,0.3428361
4,0.14751497,0.16915356,0.9204860702157021,0.38407677
5,0.17443882,0.18730475,0.9060302749276161,0.41765875
6,0.19846329,0.2032042,0.893149770796299,0.44549218
7,0.22039981,0.21700716,0.8814124092459679,0.46946758
8,0.23992805,0.22897702,0.8709925413131714,0.4898245
9,0.25793427,0.23967037,0.861406683921814,0.5078723
10,0.27359512,0.24897867,0.8530938923358917,0.52306324
