horizon,MSE,MAE,NSE,RMSE
1,0.046462372,0.086008936,0.9749119840562344,0.21555132
2,0.08212933,0.11711871,0.9556779898703098,0.28658214
3,0.115123205,0.14363115,0.9379090033471584,0.3392981
4,0.14530584,0.16639306,0.9216768443584442,0.38119003
5,0.17321737,0.18543558,0.9066882729530334,0.4161939
6,0.1984405,0.20195514,0.8931620344519615,0.4454666
7,0.22092138,0.21655637,0.8811317756772041,0.47002274
8,0.24161294,0.22982953,0.870086595416069,0.4915414
9,0.2610029,0.24146152,0.8597578555345535,0.5108844
10,0.2780295,0.25241926,0.850712850689888,0.52728504
