horizon,MSE,MAE,NSE,RMSE
1,0.044919807,0.08588906,0.975744916126132,0.21194294
2,0.07962941,0.1167225,0.9570271037518978,0.28218684
3,0.11176542,0.14282407,0.9397200047969818,0.33431336
4,0.1410389,0.1650242,0.9239768236875534,0.37555146
5,0.16721505,0.18384093,0.9099216982722282,0.40891936
6,0.19054358,0.19986247,0.8974136412143707,0.43651298
7,0.21116562,0.2132316,0.8863809257745743,0.4595276
8,0.23017757,0.22492759,0.87623530626297,0.47976825
9,0.24759437,0.23552203,0.8669625371694565,0.49758855
10,0.2635133,0.244783,0.8585072904825211,0.51333547
