horizon,MSE,MAE,NSE,RMSE
1,0.046824865,0.08817632,0.9747162517160177,0.21639054
2,0.08197079,0.11932652,0.9557635486125946,0.2863054
3,0.114978805,0.14552528,0.9379868842661381,0.33908525
4,0.14510208,0.16757567,0.9217866733670235,0.38092268
5,0.17235102,0.186459,0.9071549698710442,0.4151518
6,0.19689487,0.20226985,0.8939941897988319,0.4437284
7,0.21873724,0.21588786,0.8823069706559181,0.46769354
8,0.23866941,0.22756052,0.8716693073511124,0.48853803
9,0.25703567,0.2383098,0.8618895262479782,0.50698686
10,0.2735767,0.24780186,0.8531037718057632,0.5230456
