,horizon,prediction,observed,basin_id
158,9,1.246594,3.63,CA_15013
159,10,1.4563221,5.0700006,CA_15013
160,1,1.304139,2.48,CA_15013
161,2,1.4828726,3.0799997,CA_15013
162,3,1.4154855,3.63,CA_15013
163,4,1.6347051,2.93,CA_15013
164,5,1.5347095,2.1999998,CA_15013
165,6,1.7430263,2.33,CA_15013
166,7,1.7710645,3.8300002,CA_15013
167,8,2.020719,3.63,CA_15013
168,9,1.8437197,5.0700006,CA_15013
169,10,2.0867624,3.8300002,CA_15013
170,1,1.6612706,3.0799997,CA_15013
171,2,1.782475,3.63,CA_15013
172,3,1.8075606,2.93,CA_15013
173,4,1.9756597,2.1999998,CA_15013
174,5,1.7250469,2.33,CA_15013
175,6,1.9009502,3.8300002,CA_15013
176,7,2.0148723,3.63,CA_15013
177,8,2.0336409,5.0700006,CA_15013
178,9,1.9916582,3.8300002,CA_15013
179,10,2.2100158,2.93,CA_15013
180,1,1.8231101,3.63,CA_15013
181,2,1.9799095,2.93,CA_15013
182,3,1.9819728,2.1999998,CA_15013
183,4,2.2504442,2.33,CA_15013
184,5,1.9539611,3.8300002,CA_15013
185,6,2.2801545,3.63,CA_15013
186,7,2.3515024,5.0700006,CA_15013
187,8,2.3686655,3.8300002,CA_15013
188,9,2.316232,2.93,CA_15013
189,10,2.4369643,3.0799997,CA_15013
190,1,2.1611395,2.93,CA_15013
191,2,2.491673,2.1999998,CA_15013
192,3,2.5138216,2.33,CA_15013
193,4,2.6203556,3.8300002,CA_15013
194,5,2.4097888,3.63,CA_15013
195,6,2.5953226,5.0700006,CA_15013
196,7,2.665818,3.8300002,CA_15013
197,8,2.759204,2.93,CA_15013
198,9,2.771852,3.0799997,CA_15013
199,10,2.781217,3.0799997,CA_15013
200,1,2.08032,2.1999998,CA_15013
201,2,2.2776458,2.33,CA_15013
202,3,2.2446053,3.8300002,CA_15013
203,4,2.5029705,3.63,CA_15013
204,5,2.1111517,5.0700006,CA_15013
205,6,2.5068684,3.8300002,CA_15013
206,7,2.5731175,2.93,CA_15013
207,8,2.5535114,3.0799997,CA_15013
208,9,2.543609,3.0799997,CA_15013
209,10,2.4904833,2.7799997,CA_15013
210,1,1.6856881,2.33,CA_15013
211,2,1.8848755,3.8300002,CA_15013
212,3,1.9789982,3.63,CA_15013
213,4,2.1460981,5.0700006,CA_15013
214,5,2.0899677,3.8300002,CA_15013
215,6,2.4223702,2.93,CA_15013
216,7,2.480671,3.0799997,CA_15013
217,8,2.4780989,3.0799997,CA_15013
218,9,2.5538194,2.7799997,CA_15013
219,10,2.6565027,3.0799997,CA_15013
220,1,1.7861516,3.8300002,CA_15013
221,2,1.8006678,3.63,CA_15013
222,3,2.0162704,5.0700006,CA_15013
223,4,2.2505825,3.8300002,CA_15013
224,5,2.0222287,2.93,CA_15013
225,6,2.4696517,3.0799997,CA_15013
226,7,2.5478582,3.0799997,CA_15013
227,8,2.4579344,2.7799997,CA_15013
228,9,2.474616,3.0799997,CA_15013
229,10,2.607752,3.0799997,CA_15013
230,1,2.0613458,3.63,CA_15013
231,2,2.1308048,5.0700006,CA_15013
232,3,2.439743,3.8300002,CA_15013
233,4,2.6121721,2.93,CA_15013
234,5,2.3966637,3.0799997,CA_15013
235,6,2.713664,3.0799997,CA_15013
236,7,2.8021402,2.7799997,CA_15013
237,8,2.660161,3.0799997,CA_15013
238,9,2.7616491,3.0799997,CA_15013
239,10,2.839793,3.2699997,CA_15013
240,1,2.8942423,5.0700006,CA_15013
241,2,3.091507,3.8300002,CA_15013
242,3,3.0410478,2.93,CA_15013
243,4,2.998738,3.0799997,CA_15013
244,5,3.1961608,3.0799997,CA_15013
245,6,3.259483,2.7799997,CA_15013
246,7,3.1366785,3.0799997,CA_15013
247,8,3.4079454,3.0799997,CA_15013
