horizon,MSE,MAE,NSE,RMSE
1,0.3394711,0.27686718,0.816473662853241,0.5826415
2,0.36399552,0.29091477,0.8032318502664566,0.6033204
3,0.38551012,0.302704,0.7916121333837509,0.6208946
4,0.41441384,0.3156006,0.7760188281536102,0.64374983
5,0.44413733,0.3292553,0.7597659528255463,0.6664363
6,0.46728808,0.33932844,0.7471413910388947,0.68358475
7,0.49416837,0.35032544,0.732465386390686,0.7029711
8,0.52377975,0.36210263,0.7164321541786194,0.7237263
9,0.5412332,0.37007725,0.7070097029209137,0.7356855
10,0.5463476,0.37393352,0.7042579650878906,0.7391533
