horizon,MSE,MAE,NSE,RMSE
1,0.43306014,0.33229354,0.7658771574497223,0.65807307
2,0.44752705,0.34520155,0.7580765038728714,0.66897464
3,0.50460404,0.3618579,0.7272357642650604,0.71035486
4,0.5167392,0.3698504,0.7207143306732178,0.7188457
5,0.5368047,0.3811089,0.7096421420574188,0.73266953
6,0.5588113,0.39014915,0.6976163983345032,0.74753684
7,0.56199926,0.3953482,0.6957428753376007,0.7496661
8,0.5800276,0.39872006,0.6859802603721619,0.7615954
9,0.58908755,0.4072537,0.681104302406311,0.76752037
10,0.5881251,0.41025198,0.6816434860229492,0.76689315
