,horizon,prediction,observed,basin_id
152,3,5.0293217,4.43,CA_15013
153,4,4.9273767,4.6299996,CA_15013
154,5,4.996316,4.6299996,CA_15013
155,6,5.0727415,4.43,CA_15013
156,7,5.1904607,4.43,CA_15013
157,8,5.1065936,4.43,CA_15013
158,9,5.188445,3.63,CA_15013
159,10,5.08685,3.8299997,CA_15013
160,1,4.897545,3.9999995,CA_15013
161,2,5.095293,4.43,CA_15013
162,3,5.1486015,4.6299996,CA_15013
163,4,5.0445185,4.6299996,CA_15013
164,5,5.111359,4.43,CA_15013
165,6,5.197128,4.43,CA_15013
166,7,5.2970104,4.43,CA_15013
167,8,5.2227964,3.63,CA_15013
168,9,5.2969327,3.8299997,CA_15013
169,10,5.192638,3.63,CA_15013
170,1,5.08614,4.43,CA_15013
171,2,5.289405,4.6299996,CA_15013
172,3,5.336935,4.6299996,CA_15013
173,4,5.201066,4.43,CA_15013
174,5,5.243742,4.43,CA_15013
175,6,5.3316326,4.43,CA_15013
176,7,5.4276443,3.63,CA_15013
177,8,5.3524685,3.8299997,CA_15013
178,9,5.4439707,3.63,CA_15013
179,10,5.314621,3.63,CA_15013
180,1,5.1795154,4.6299996,CA_15013
181,2,5.4037523,4.6299996,CA_15013
182,3,5.4241943,4.43,CA_15013
183,4,5.2751875,4.43,CA_15013
184,5,5.3303113,4.43,CA_15013
185,6,5.4341044,3.63,CA_15013
186,7,5.5463076,3.8299997,CA_15013
187,8,5.464649,3.63,CA_15013
188,9,5.5575943,3.63,CA_15013
189,10,5.410837,3.4699998,CA_15013
190,1,5.1481714,4.6299996,CA_15013
191,2,5.366255,4.43,CA_15013
192,3,5.356097,4.43,CA_15013
193,4,5.2040014,4.43,CA_15013
194,5,5.2475996,3.63,CA_15013
195,6,5.3474693,3.8299997,CA_15013
196,7,5.4626493,3.63,CA_15013
197,8,5.3835974,3.63,CA_15013
198,9,5.4688005,3.4699998,CA_15013
199,10,5.320547,3.63,CA_15013
200,1,5.1744976,4.43,CA_15013
201,2,5.400293,4.43,CA_15013
202,3,5.405339,4.43,CA_15013
203,4,5.2429667,3.63,CA_15013
204,5,5.292995,3.8299997,CA_15013
205,6,5.413961,3.63,CA_15013
206,7,5.529692,3.63,CA_15013
207,8,5.406645,3.4699998,CA_15013
208,9,5.496507,3.63,CA_15013
209,10,5.329359,4.1999993,CA_15013
210,1,5.1003346,4.43,CA_15013
211,2,5.3201547,4.43,CA_15013
212,3,5.349655,3.63,CA_15013
213,4,5.1851554,3.8299997,CA_15013
214,5,5.2550564,3.63,CA_15013
215,6,5.3612437,3.63,CA_15013
216,7,5.469119,3.4699998,CA_15013
217,8,5.343025,3.63,CA_15013
218,9,5.4240913,4.1999993,CA_15013
219,10,5.270458,3.4699998,CA_15013
220,1,4.99792,4.43,CA_15013
221,2,5.201004,3.63,CA_15013
222,3,5.2272625,3.8299997,CA_15013
223,4,5.0839515,3.63,CA_15013
224,5,5.155555,3.63,CA_15013
225,6,5.2591095,3.4699998,CA_15013
226,7,5.362913,3.63,CA_15013
227,8,5.2427983,4.1999993,CA_15013
228,9,5.3109612,3.4699998,CA_15013
229,10,5.1728463,3.9999995,CA_15013
230,1,5.1461697,3.63,CA_15013
231,2,5.352702,3.8299997,CA_15013
232,3,5.3924236,3.63,CA_15013
233,4,5.254101,3.63,CA_15013
234,5,5.32998,3.4699998,CA_15013
235,6,5.422663,3.63,CA_15013
236,7,5.518795,4.1999993,CA_15013
237,8,5.406993,3.4699998,CA_15013
238,9,5.4530687,3.9999995,CA_15013
239,10,5.308449,3.9999995,CA_15013
240,1,4.8872643,3.8299997,CA_15013
241,2,5.0884337,3.63,CA_15013
242,3,5.1472673,3.63,CA_15013
243,4,5.0142837,3.4699998,CA_15013
244,5,5.0972795,3.63,CA_15013
245,6,5.18367,4.1999993,CA_15013
246,7,5.2609944,3.4699998,CA_15013
247,8,5.148963,3.9999995,CA_15013
248,9,5.189791,3.9999995,CA_15013
249,10,5.0583825,3.63,CA_15013
250,1,4.790968,3.63,CA_15013
251,2,4.993202,3.63,CA_15013
252,3,5.0415277,3.4699998,CA_15013
253,4,4.9086237,3.63,CA_15013
254,5,5.004948,4.1999993,CA_15013
255,6,5.0786653,3.4699998,CA_15013
256,7,5.16491,3.9999995,CA_15013
257,8,5.0335016,3.9999995,CA_15013
258,9,5.0797486,3.63,CA_15013
259,10,4.960733,4.6299996,CA_15013
260,1,4.644758,3.63,CA_15013
261,2,4.8299665,3.4699998,CA_15013
262,3,4.8842545,3.63,CA_15013
263,4,4.752479,4.1999993,CA_15013
264,5,4.8435116,3.4699998,CA_15013
265,6,4.9235244,3.9999995,CA_15013
266,7,5.0015903,3.9999995,CA_15013
267,8,4.884546,3.63,CA_15013
268,9,4.938365,4.6299996,CA_15013
269,10,4.8222704,3.8299997,CA_15013
270,1,4.489215,3.4699998,CA_15013
271,2,4.6717343,3.63,CA_15013
272,3,4.7115436,4.1999993,CA_15013
273,4,4.581088,3.4699998,CA_15013
274,5,4.678279,3.9999995,CA_15013
275,6,4.752843,3.9999995,CA_15013
276,7,4.838164,3.63,CA_15013
277,8,4.7321177,4.6299996,CA_15013
278,9,4.7914805,3.8299997,CA_15013
279,10,4.680678,3.63,CA_15013
280,1,4.6505356,3.63,CA_15013
281,2,4.8401065,4.1999993,CA_15013
282,3,4.8873525,3.4699998,CA_15013
283,4,4.748618,3.9999995,CA_15013
284,5,4.8478723,3.9999995,CA_15013
285,6,4.9196553,3.63,CA_15013
286,7,5.002899,4.6299996,CA_15013
287,8,4.883173,3.8299997,CA_15013
288,9,4.9417477,3.63,CA_15013
289,10,4.8246512,3.63,CA_15013
290,1,4.58943,4.1999993,CA_15013
291,2,4.760927,3.4699998,CA_15013
292,3,4.790542,3.9999995,CA_15013
293,4,4.6465893,3.9999995,CA_15013
294,5,4.7501626,3.63,CA_15013
295,6,4.8172183,4.6299996,CA_15013
296,7,4.9039855,3.8299997,CA_15013
297,8,4.790962,3.63,CA_15013
298,9,4.8556633,3.63,CA_15013
299,10,4.743845,3.63,CA_15013
300,1,4.55931,3.4699998,CA_15013
301,2,4.7351904,3.9999995,CA_15013
302,3,4.7478757,3.9999995,CA_15013
303,4,4.60341,3.63,CA_15013
304,5,4.700544,4.6299996,CA_15013
305,6,4.769837,3.8299997,CA_15013
306,7,4.864671,3.63,CA_15013
307,8,4.7510986,3.63,CA_15013
308,9,4.8261414,3.63,CA_15013
309,10,4.7107267,3.63,CA_15013
310,1,4.20996,3.9999995,CA_15013
311,2,4.362062,3.9999995,CA_15013
312,3,4.3897877,3.63,CA_15013
313,4,4.2534456,4.6299996,CA_15013
314,5,4.3314924,3.8299997,CA_15013
315,6,4.403859,3.63,CA_15013
316,7,4.4644117,3.63,CA_15013
317,8,4.3829756,3.63,CA_15013
318,9,4.4493294,3.63,CA_15013
319,10,4.332417,3.63,CA_15013
320,1,4.5378265,3.9999995,CA_15013
321,2,4.7028666,3.63,CA_15013
322,3,4.728245,4.6299996,CA_15013
323,4,4.580366,3.8299997,CA_15013
324,5,4.6668663,3.63,CA_15013
325,6,4.7351894,3.63,CA_15013
326,7,4.8050537,3.63,CA_15013
327,8,4.6892414,3.63,CA_15013
328,9,4.7668967,3.63,CA_15013
329,10,4.633112,3.63,CA_15013
330,1,4.5831404,3.63,CA_15013
331,2,4.762868,4.6299996,CA_15013
332,3,4.771612,3.8299997,CA_15013
333,4,4.6255803,3.63,CA_15013
334,5,4.69787,3.63,CA_15013
335,6,4.7597075,3.63,CA_15013
336,7,4.8291607,3.63,CA_15013
337,8,4.706909,3.63,CA_15013
338,9,4.7728524,3.63,CA_15013
339,10,4.6414227,3.63,CA_15013
340,1,4.3536572,4.6299996,CA_15013
341,2,4.508994,3.8299997,CA_15013
342,3,4.5215526,3.63,CA_15013
343,4,4.393435,3.63,CA_15013
344,5,4.4498873,3.63,CA_15013
345,6,4.5096416,3.63,CA_15013
346,7,4.5560737,3.63,CA_15013
347,8,4.4194307,3.63,CA_15013
348,9,4.4737425,3.63,CA_15013
349,10,4.3618083,3.4699998,CA_15013
350,1,4.3407755,3.8299997,CA_15013
351,2,4.487713,3.63,CA_15013
352,3,4.485523,3.63,CA_15013
353,4,4.3567495,3.63,CA_15013
354,5,4.428012,3.63,CA_15013
355,6,4.5018744,3.63,CA_15013
356,7,4.5588384,3.63,CA_15013
357,8,4.406089,3.63,CA_15013
358,9,4.4644356,3.4699998,CA_15013
359,10,4.3491077,3.0799997,CA_15013
360,1,4.164315,3.63,CA_15013
361,2,4.3045955,3.63,CA_15013
362,3,4.30956,3.63,CA_15013
363,4,4.1925964,3.63,CA_15013
364,5,4.2629676,3.63,CA_15013
365,6,4.327609,3.63,CA_15013
366,7,4.38497,3.63,CA_15013
367,8,4.244834,3.4699998,CA_15013
368,9,4.308441,3.0799997,CA_15013
369,10,4.2193418,2.9299996,CA_15013
370,1,4.174284,3.63,CA_15013
371,2,4.3137865,3.63,CA_15013
372,3,4.3194733,3.63,CA_15013
373,4,4.195432,3.63,CA_15013
374,5,4.2732553,3.63,CA_15013
375,6,4.351253,3.63,CA_15013
376,7,4.409251,3.4699998,CA_15013
377,8,4.2579603,3.0799997,CA_15013
378,9,4.322276,2.9299996,CA_15013
379,10,4.224554,3.4699998,CA_15013
380,1,4.102427,3.63,CA_15013
381,2,4.2163334,3.63,CA_15013
382,3,4.2331877,3.63,CA_15013
383,4,4.1061487,3.63,CA_15013
384,5,4.1930203,3.63,CA_15013
385,6,4.268818,3.4699998,CA_15013
386,7,4.30706,3.0799997,CA_15013
387,8,4.1365066,2.9299996,CA_15013
388,9,4.189991,3.4699998,CA_15013
389,10,4.097992,3.63,CA_15013
390,1,4.1516395,3.63,CA_15013
391,2,4.2685394,3.63,CA_15013
392,3,4.2971554,3.63,CA_15013
393,4,4.174836,3.63,CA_15013
394,5,4.263176,3.4699998,CA_15013
395,6,4.345517,3.0799997,CA_15013
396,7,4.3714356,2.9299996,CA_15013
397,8,4.2127147,3.4699998,CA_15013
398,9,4.2566147,3.63,CA_15013
399,10,4.151303,3.0799997,CA_15013
400,1,4.3136554,3.63,CA_15013
401,2,4.424293,3.63,CA_15013
402,3,4.4530106,3.63,CA_15013
403,4,4.3190494,3.4699998,CA_15013
404,5,4.404468,3.0799997,CA_15013
405,6,4.4796047,2.9299996,CA_15013
406,7,4.4964137,3.4699998,CA_15013
407,8,4.3141994,3.63,CA_15013
408,9,4.3524866,3.0799997,CA_15013
409,10,4.24223,3.0799997,CA_15013
410,1,4.2938137,3.63,CA_15013
411,2,4.3890667,3.63,CA_15013
412,3,4.410742,3.4699998,CA_15013
413,4,4.275754,3.0799997,CA_15013
414,5,4.3435755,2.9299996,CA_15013
415,6,4.416376,3.4699998,CA_15013
416,7,4.427991,3.63,CA_15013
417,8,4.2584324,3.0799997,CA_15013
418,9,4.3046365,3.0799997,CA_15013
419,10,4.2012825,3.8299997,CA_15013
420,1,4.1883926,3.63,CA_15013
421,2,4.27907,3.4699998,CA_15013
422,3,4.2849054,3.0799997,CA_15013
423,4,4.1621237,2.9299996,CA_15013
424,5,4.229225,3.4699998,CA_15013
425,6,4.2959146,3.63,CA_15013
426,7,4.3125,3.0799997,CA_15013
427,8,4.146999,3.0799997,CA_15013
428,9,4.179347,3.8299997,CA_15013
429,10,4.090354,3.63,CA_15013
430,1,4.2322073,3.4699998,CA_15013
431,2,4.3323526,3.0799997,CA_15013
432,3,4.3411202,2.9299996,CA_15013
433,4,4.2168875,3.4699998,CA_15013
434,5,4.294344,3.63,CA_15013
435,6,4.36169,3.0799997,CA_15013
436,7,4.3848324,3.0799997,CA_15013
437,8,4.227952,3.8299997,CA_15013
