horizon,MSE,MAE,NSE,RMSE
1,0.052018758,0.104890466,0.971911758184433,0.2280762
2,0.085917346,0.12980628,0.9536337852478027,0.2931166
3,0.119856276,0.15549648,0.9353562891483307,0.34620264
4,0.15299086,0.17805575,0.9175344929099083,0.39114046
5,0.18232878,0.19815361,0.9017800465226173,0.42699975
6,0.20810258,0.21338819,0.8879601508378983,0.45618263
7,0.23012802,0.22639081,0.8761781007051468,0.4797166
8,0.24978021,0.23813167,0.8656951189041138,0.49978015
9,0.26856685,0.25107726,0.8556935787200928,0.5182344
10,0.28777835,0.26330945,0.8454782366752625,0.5364498
