horizon,MSE,MAE,NSE,RMSE
1,0.046025522,0.09048323,0.9751478880643845,0.2145356
2,0.087383226,0.12725748,0.9528427049517632,0.29560652
3,0.13531074,0.16280267,0.9270210191607475,0.36784607
4,0.17113414,0.18571346,0.9077548608183861,0.41368362
5,0.22087048,0.21259634,0.8810177519917488,0.4699686
6,0.25034013,0.22980937,0.8652199804782867,0.50034004
7,0.2753325,0.24791206,0.8518555164337158,0.5247214
8,0.29002586,0.25595313,0.8440553396940231,0.5385405
9,0.30797258,0.2678275,0.83452008664608,0.5549528
10,0.3266172,0.27756187,0.8246238380670547,0.57150435
