horizon,MSE,MAE,NSE,RMSE
1,0.041468572,0.08113799,0.9776084572076797,0.20363833
2,0.077727765,0.11215696,0.9580533467233181,0.278797
3,0.11333815,0.14039035,0.9388717599213123,0.33665732
4,0.14543529,0.16370468,0.9216070622205734,0.3813598
5,0.17464668,0.1835081,0.9059183150529861,0.4179075
6,0.20064251,0.20003083,0.8919764906167984,0.44793138
7,0.2226705,0.21350658,0.8801906257867813,0.47187975
8,0.24126767,0.2249949,0.8702722489833832,0.49119005
9,0.25834697,0.23498094,0.8611849397420883,0.5082784
10,0.27060947,0.24262102,0.8546970188617706,0.5202014
