horizon,MSE,MAE,NSE,RMSE
1,0.042041607,0.08260185,0.9772990383207798,0.2050405
2,0.07659689,0.11289414,0.9586636312305927,0.27676144
3,0.11035086,0.14004727,0.9404829367995262,0.332191
4,0.14150913,0.16355312,0.9237233474850655,0.37617698
5,0.16894451,0.18333468,0.9089900553226471,0.4110286
6,0.19222668,0.19989602,0.8965074717998505,0.43843663
7,0.21165459,0.21349248,0.8861178159713745,0.46005934
8,0.22910096,0.22548011,0.8768141940236092,0.4786449
9,0.2462721,0.23544538,0.8676730096340179,0.4962581
10,0.26262414,0.24473178,0.8589847236871719,0.5124687
