horizon,MSE,MAE,NSE,RMSE
1,0.042104993,0.08424445,0.9772648140788078,0.20519501
2,0.07703001,0.11467805,0.9584298953413963,0.2775428
3,0.111633494,0.14137718,0.9397911578416824,0.33411598
4,0.14377642,0.16498323,0.9225012362003326,0.3791786
5,0.17239237,0.18495312,0.90713270008564,0.4152016
6,0.19685902,0.2008135,0.894013486802578,0.44368798
7,0.21657394,0.21408159,0.8834709227085114,0.46537507
8,0.23265594,0.22489616,0.8749027103185654,0.4823442
9,0.24660599,0.23365822,0.867493599653244,0.4965944
10,0.2591053,0.24180625,0.8608741611242294,0.50902385
