horizon,MSE,MAE,NSE,RMSE
1,0.042100858,0.08113339,0.9772670455276966,0.20518494
2,0.07780925,0.113280065,0.9580093696713448,0.2789431
3,0.11195422,0.14193688,0.9396181777119637,0.33459562
4,0.14376561,0.165263,0.9225070551037788,0.37916437
5,0.17248425,0.18460824,0.9070832058787346,0.41531223
6,0.19739296,0.2010445,0.8937260136008263,0.44428927
7,0.21934041,0.215015,0.8819824084639549,0.46833792
8,0.23874943,0.22736724,0.8716262876987457,0.48861992
9,0.25447106,0.23700993,0.8632675409317017,0.5044513
10,0.2655195,0.24436945,0.8574300557374954,0.51528585
