horizon,MSE,MAE,NSE,RMSE
1,0.042014692,0.08321587,0.9773135744035244,0.20497486
2,0.07874523,0.11535793,0.9575042575597763,0.2806158
3,0.11128864,0.14008123,0.939977154135704,0.3335995
4,0.14200513,0.16208166,0.923455998301506,0.37683567
5,0.17078356,0.18146008,0.9079993665218353,0.41325969
6,0.19485733,0.19736272,0.8950911685824394,0.44142646
7,0.21560282,0.21065912,0.8839934393763542,0.4643305
8,0.23396267,0.22210743,0.8742000907659531,0.48369688
9,0.25010443,0.23194718,0.8656138181686401,0.5001044
10,0.2645517,0.24068512,0.8579497337341309,0.5143459
