model_type,avg_val_loss,std_val_loss,min_val_loss,max_val_loss,avg_epochs,runs
tsmixer,0.18178452253341676,0.0027669897598190892,0.1783684492111206,0.18569806218147278,12.8,5
ealstm,0.18243399560451506,0.0026700752275541804,0.18061985075473785,0.18685480952262878,13.6,5
tide,0.1826235294342041,0.001448086292671754,0.18044720590114594,0.18401998281478882,24.8,5
tft,0.17522615790367127,0.0008944840817241682,0.17395853996276855,0.17616526782512665,16.2,5
