horizon,MSE,MAE,NSE,RMSE
1,0.041217197,0.077948004,0.9765460900962353,0.20302019
2,0.0746078,0.10807719,0.9575867280364037,0.27314427
3,0.10545691,0.13409925,0.9401066787540913,0.3247413
4,0.13682419,0.15757036,0.9223649501800537,0.36989754
5,0.16624475,0.17739083,0.9057707786560059,0.4077312
6,0.1924439,0.19425784,0.891039527952671,0.43868428
7,0.21754928,0.20930701,0.876951552927494,0.46642178
8,0.2379952,0.22083506,0.8655360192060471,0.48784754
9,0.25275153,0.22995539,0.8573688119649887,0.502744
10,0.26418042,0.23734458,0.8510913550853729,0.51398486
