horizon,MSE,MAE,NSE,RMSE
1,0.04138965,0.07805425,0.9764479584991932,0.20344447
2,0.07517737,0.10845681,0.9572629369795322,0.2741849
3,0.10640936,0.13381658,0.9395657405257225,0.32620448
4,0.1368533,0.15644786,0.9223484322428703,0.36993688
5,0.16463189,0.17587866,0.9066849574446678,0.40574855
6,0.19058147,0.19303066,0.8920940235257149,0.43655637
7,0.21383579,0.20718752,0.8790519461035728,0.46242383
8,0.23227212,0.21812284,0.8687694817781448,0.48194617
9,0.24833332,0.22756171,0.8598620742559433,0.49833053
10,0.2614808,0.23567285,0.8526130318641663,0.51135194
