horizon,MSE,MAE,NSE,RMSE
1,0.042455498,0.08066551,0.9758414570242167,0.20604733
2,0.07409005,0.10829025,0.9578810594975948,0.27219486
3,0.10261888,0.13224895,0.9417185112833977,0.32034183
4,0.13157852,0.15415806,0.9253413826227188,0.36273754
5,0.15911384,0.17341492,0.9098126441240311,0.39889076
6,0.18380149,0.18959361,0.8959328085184097,0.42872074
7,0.20496379,0.2033886,0.884070061147213,0.45272925
8,0.22122906,0.21404155,0.8750086575746536,0.47034994
9,0.23515947,0.22253752,0.8672962635755539,0.48493245
10,0.24750921,0.23067214,0.8604882955551147,0.49750298
