horizon,MSE,MAE,NSE,RMSE
1,0.041979026,0.07912468,0.9761125836521387,0.20488784
2,0.07588474,0.10935964,0.9568608105182648,0.27547184
3,0.10853326,0.13604628,0.9383594878017902,0.32944387
4,0.14293367,0.16033407,0.9188983887434006,0.3780657
5,0.17527601,0.18143593,0.9006517603993416,0.41865978
6,0.20427255,0.19920683,0.884342223405838,0.4519652
7,0.23156564,0.21482405,0.8690237402915955,0.48121268
8,0.25420222,0.22765994,0.8563792854547501,0.5041847
9,0.27288106,0.23757751,0.8460094481706619,0.5223802
10,0.28438187,0.24441367,0.8397045582532883,0.53327465
