horizon,MSE,MAE,NSE,RMSE
1,0.14376093,0.18156466,0.9222793430089951,0.3791582
2,0.17162398,0.19897196,0.9072237759828568,0.41427523
3,0.20060542,0.21754225,0.8915625438094139,0.44788995
4,0.23118675,0.2348136,0.8750488683581352,0.48081884
5,0.24944647,0.24463242,0.8650743067264557,0.49944615
6,0.27220196,0.2569691,0.852706253528595,0.52172977
7,0.28966346,0.2651727,0.8431809693574905,0.5382039
8,0.31134534,0.27648595,0.8314414918422699,0.5579833
9,0.32787266,0.28497347,0.8225099444389343,0.5726017
10,0.34355107,0.29406512,0.8140332400798798,0.5861323
