horizon,MSE,MAE,NSE,RMSE
1,0.13692153,0.1759664,0.9259768947958946,0.3700291
2,0.16103508,0.19452277,0.9129479080438614,0.40129176
3,0.20893468,0.21829878,0.8870601579546928,0.45709375
4,0.2302527,0.23396365,0.8755537047982216,0.47984654
5,0.2691777,0.25187358,0.8544016778469086,0.5188234
6,0.28796244,0.26179203,0.8441779464483261,0.53662133
7,0.30249703,0.2731125,0.8362330943346024,0.54999727
8,0.3105576,0.27934483,0.831867977976799,0.55727696
9,0.32513094,0.2868216,0.8239941447973251,0.5702025
10,0.34054467,0.29603925,0.8156606256961823,0.5835621
