epoch,lr-Adam,step,train_loss,train_mse,val_loss,val_mse
,0.0001,0,,,,
0,,49,0.6663592457771301,0.6663592457771301,,
0,,99,0.3138337731361389,0.3138337731361389,,
0,,149,0.1911277174949646,0.1911277174949646,,
0,,199,0.19788943231105804,0.19788943231105804,,
0,,249,0.15726962685585022,0.15726962685585022,,
0,,258,,,0.23574569821357727,0.23574569821357727
,0.0001,259,,,,
1,,299,0.1565876454114914,0.1565876454114914,,
1,,349,0.14593787491321564,0.14593787491321564,,
1,,399,0.1259017139673233,0.1259017139673233,,
1,,449,0.23998188972473145,0.23998188972473145,,
1,,499,0.14543864130973816,0.14543864130973816,,
1,,517,,,0.19246143102645874,0.19246143102645874
,0.0001,518,,,,
2,,549,0.1262936145067215,0.1262936145067215,,
2,,599,0.14403267204761505,0.14403267204761505,,
2,,649,0.1282767355442047,0.1282767355442047,,
2,,699,0.11812054365873337,0.11812054365873337,,
2,,749,0.12805728614330292,0.12805728614330292,,
2,,776,,,0.169297993183136,0.169297993183136
,0.0001,777,,,,
3,,799,0.12439029663801193,0.12439029663801193,,
3,,849,0.13154630362987518,0.13154630362987518,,
3,,899,0.11580174416303635,0.11580174416303635,,
3,,949,0.11999615281820297,0.11999615281820297,,
3,,999,0.11524945497512817,0.11524945497512817,,
3,,1035,,,0.14974355697631836,0.14974355697631836
,0.0001,1036,,,,
4,,1049,0.11316406726837158,0.11316406726837158,,
4,,1099,0.13354767858982086,0.13354767858982086,,
4,,1149,0.09064331650733948,0.09064331650733948,,
4,,1199,0.10123298317193985,0.10123298317193985,,
4,,1249,0.09967108070850372,0.09967108070850372,,
4,,1294,,,0.13669155538082123,0.13669155538082123
,0.0001,1295,,,,
5,,1299,0.10705115646123886,0.10705115646123886,,
5,,1349,0.10713701695203781,0.10713701695203781,,
5,,1399,0.0971459373831749,0.0971459373831749,,
5,,1449,0.09440775215625763,0.09440775215625763,,
5,,1499,0.08680728077888489,0.08680728077888489,,
5,,1549,0.0973978340625763,0.0973978340625763,,
5,,1553,,,0.12752757966518402,0.12752757966518402
,0.0001,1554,,,,
6,,1599,0.09253918379545212,0.09253918379545212,,
6,,1649,0.09053810685873032,0.09053810685873032,,
6,,1699,0.08699923008680344,0.08699923008680344,,
6,,1749,0.08933111280202866,0.08933111280202866,,
6,,1799,0.10119424015283585,0.10119424015283585,,
6,,1812,,,0.12089092284440994,0.12089092284440994
,0.0001,1813,,,,
7,,1849,0.08584823459386826,0.08584823459386826,,
7,,1899,0.09920171648263931,0.09920171648263931,,
7,,1949,0.08599474281072617,0.08599474281072617,,
7,,1999,0.08800332993268967,0.08800332993268967,,
7,,2049,0.07091810554265976,0.07091810554265976,,
7,,2071,,,0.11571294814348221,0.11571294814348221
,0.0001,2072,,,,
8,,2099,0.0792282223701477,0.0792282223701477,,
8,,2149,0.07314753532409668,0.07314753532409668,,
8,,2199,0.07381200045347214,0.07381200045347214,,
8,,2249,0.07582453638315201,0.07582453638315201,,
8,,2299,0.09829584509134293,0.09829584509134293,,
8,,2330,,,0.11078696697950363,0.11078696697950363
,0.0001,2331,,,,
9,,2349,0.07696136832237244,0.07696136832237244,,
9,,2399,0.07099949568510056,0.07099949568510056,,
9,,2449,0.07480365037918091,0.07480365037918091,,
9,,2499,0.07633834332227707,0.07633834332227707,,
9,,2549,0.07256590574979782,0.07256590574979782,,
9,,2589,,,0.10833103209733963,0.10833103209733963
,0.0001,2590,,,,
10,,2599,0.0860317051410675,0.0860317051410675,,
10,,2649,0.08299615234136581,0.08299615234136581,,
10,,2699,0.08100776374340057,0.08100776374340057,,
10,,2749,0.08062560856342316,0.08062560856342316,,
10,,2799,0.0702928826212883,0.0702928826212883,,
10,,2848,,,0.10445643961429596,0.10445643961429596
,0.0001,2849,,,,
11,,2849,0.08738841861486435,0.08738841861486435,,
11,,2899,0.08799127489328384,0.08799127489328384,,
11,,2949,0.0738777294754982,0.0738777294754982,,
11,,2999,0.08292459696531296,0.08292459696531296,,
11,,3049,0.07047729939222336,0.07047729939222336,,
11,,3099,0.07649599760770798,0.07649599760770798,,
11,,3107,,,0.10280539840459824,0.10280539840459824
,0.0001,3108,,,,
12,,3149,0.08784456551074982,0.08784456551074982,,
12,,3199,0.07962285727262497,0.07962285727262497,,
12,,3249,0.08549561351537704,0.08549561351537704,,
12,,3299,0.0917096734046936,0.0917096734046936,,
12,,3349,0.09971263259649277,0.09971263259649277,,
12,,3366,,,0.10384488850831985,0.10384488850831985
,0.0001,3367,,,,
13,,3399,0.06850553303956985,0.06850553303956985,,
13,,3449,0.08199905604124069,0.08199905604124069,,
13,,3499,0.07620906829833984,0.07620906829833984,,
13,,3549,0.07146714627742767,0.07146714627742767,,
13,,3599,0.07401585578918457,0.07401585578918457,,
13,,3625,,,0.10097088664770126,0.10097088664770126
,0.0001,3626,,,,
14,,3649,0.07338803261518478,0.07338803261518478,,
14,,3699,0.07245194166898727,0.07245194166898727,,
14,,3749,0.07813506573438644,0.07813506573438644,,
14,,3799,0.07293876260519028,0.07293876260519028,,
14,,3849,0.08862372487783432,0.08862372487783432,,
14,,3884,,,0.09907379746437073,0.09907379746437073
,0.0001,3885,,,,
15,,3899,0.07097668945789337,0.07097668945789337,,
15,,3949,0.07291998714208603,0.07291998714208603,,
15,,3999,0.0805133730173111,0.0805133730173111,,
15,,4049,0.06682872772216797,0.06682872772216797,,
15,,4099,0.08044536411762238,0.08044536411762238,,
15,,4143,,,0.09760597348213196,0.09760597348213196
,0.0001,4144,,,,
16,,4149,0.06442419439554214,0.06442419439554214,,
16,,4199,0.08262746781110764,0.08262746781110764,,
16,,4249,0.0886746272444725,0.0886746272444725,,
16,,4299,0.06837905943393707,0.06837905943393707,,
16,,4349,0.07392126321792603,0.07392126321792603,,
16,,4399,0.06380566209554672,0.06380566209554672,,
16,,4402,,,0.09762127697467804,0.09762127697467804
,0.0001,4403,,,,
17,,4449,0.09764685481786728,0.09764685481786728,,
17,,4499,0.07008552551269531,0.07008552551269531,,
17,,4549,0.0681578740477562,0.0681578740477562,,
17,,4599,0.06226507946848869,0.06226507946848869,,
17,,4649,0.07290184497833252,0.07290184497833252,,
17,,4661,,,0.09713418036699295,0.09713418036699295
,0.0001,4662,,,,
18,,4699,0.06407081335783005,0.06407081335783005,,
18,,4749,0.07789035886526108,0.07789035886526108,,
18,,4799,0.06831739842891693,0.06831739842891693,,
18,,4849,0.09005637466907501,0.09005637466907501,,
18,,4899,0.07496786117553711,0.07496786117553711,,
18,,4920,,,0.09609019011259079,0.09609019011259079
,0.0001,4921,,,,
19,,4949,0.08329266309738159,0.08329266309738159,,
19,,4999,0.07119175046682358,0.07119175046682358,,
19,,5049,0.06993047147989273,0.06993047147989273,,
19,,5099,0.08500268310308456,0.08500268310308456,,
19,,5149,0.0610957108438015,0.0610957108438015,,
19,,5179,,,0.09479358792304993,0.09479358792304993
,0.0001,5180,,,,
20,,5199,0.08172918856143951,0.08172918856143951,,
20,,5249,0.0735388770699501,0.0735388770699501,,
20,,5299,0.06992258876562119,0.06992258876562119,,
20,,5349,0.06647095829248428,0.06647095829248428,,
20,,5399,0.0639222115278244,0.0639222115278244,,
20,,5438,,,0.09441903233528137,0.09441903233528137
,0.0001,5439,,,,
21,,5449,0.06316987425088882,0.06316987425088882,,
21,,5499,0.06754332780838013,0.06754332780838013,,
21,,5549,0.06031404808163643,0.06031404808163643,,
21,,5599,0.08029498159885406,0.08029498159885406,,
21,,5649,0.06322737783193588,0.06322737783193588,,
21,,5697,,,0.09371459484100342,0.09371459484100342
,0.0001,5698,,,,
22,,5699,0.08571981638669968,0.08571981638669968,,
22,,5749,0.05983836576342583,0.05983836576342583,,
22,,5799,0.058172713965177536,0.058172713965177536,,
22,,5849,0.07756287604570389,0.07756287604570389,,
22,,5899,0.06500096619129181,0.06500096619129181,,
22,,5949,0.05666625499725342,0.05666625499725342,,
22,,5956,,,0.09354827553033829,0.09354827553033829
,0.0001,5957,,,,
23,,5999,0.0691792368888855,0.0691792368888855,,
23,,6049,0.06391149014234543,0.06391149014234543,,
23,,6099,0.059171415865421295,0.059171415865421295,,
23,,6149,0.07468308508396149,0.07468308508396149,,
23,,6199,0.08135297149419785,0.08135297149419785,,
23,,6215,,,0.09406019747257233,0.09406019747257233
,0.0001,6216,,,,
24,,6249,0.07635004818439484,0.07635004818439484,,
24,,6299,0.0809183269739151,0.0809183269739151,,
24,,6349,0.07077892869710922,0.07077892869710922,,
24,,6399,0.07150222361087799,0.07150222361087799,,
24,,6449,0.07079283148050308,0.07079283148050308,,
24,,6474,,,0.0934300348162651,0.0934300348162651
,0.0001,6475,,,,
25,,6499,0.0672840029001236,0.0672840029001236,,
25,,6549,0.07401770353317261,0.07401770353317261,,
25,,6599,0.06147289276123047,0.06147289276123047,,
25,,6649,0.06272528320550919,0.06272528320550919,,
25,,6699,0.06791111081838608,0.06791111081838608,,
25,,6733,,,0.093001589179039,0.093001589179039
,0.0001,6734,,,,
26,,6749,0.07355119287967682,0.07355119287967682,,
26,,6799,0.06640443950891495,0.06640443950891495,,
26,,6849,0.059217214584350586,0.059217214584350586,,
26,,6899,0.0619414746761322,0.0619414746761322,,
26,,6949,0.09181129187345505,0.09181129187345505,,
26,,6992,,,0.09294449537992477,0.09294449537992477
,0.0001,6993,,,,
27,,6999,0.060900021344423294,0.060900021344423294,,
27,,7049,0.05896459147334099,0.05896459147334099,,
27,,7099,0.06629239022731781,0.06629239022731781,,
27,,7149,0.0596621111035347,0.0596621111035347,,
27,,7199,0.06690364331007004,0.06690364331007004,,
27,,7249,0.06613931804895401,0.06613931804895401,,
27,,7251,,,0.09314433485269547,0.09314433485269547
,0.0001,7252,,,,
28,,7299,0.07282672077417374,0.07282672077417374,,
28,,7349,0.06017151102423668,0.06017151102423668,,
28,,7399,0.06553772836923599,0.06553772836923599,,
28,,7449,0.0796624943614006,0.0796624943614006,,
28,,7499,0.06223726272583008,0.06223726272583008,,
28,,7510,,,0.09215842187404633,0.09215842187404633
,0.0001,7511,,,,
29,,7549,0.06289418041706085,0.06289418041706085,,
29,,7599,0.06882591545581818,0.06882591545581818,,
29,,7649,0.07785407453775406,0.07785407453775406,,
29,,7699,0.061413198709487915,0.061413198709487915,,
29,,7749,0.06653816998004913,0.06653816998004913,,
29,,7769,,,0.09191229939460754,0.09191229939460754
