horizon,MSE,MAE,NSE,RMSE
1,0.107676126,0.15027724,0.9417876712977886,0.3281404
2,0.13568477,0.17268404,0.9266517385840416,0.36835414
3,0.16046524,0.19078189,0.9132603779435158,0.40058112
4,0.18986075,0.20815521,0.8973846361041069,0.43573013
5,0.22441837,0.22795482,0.8786120340228081,0.47372815
6,0.24797535,0.24020784,0.865815743803978,0.49797124
7,0.273453,0.25380203,0.8519570678472519,0.52292734
8,0.29716733,0.2664831,0.8391173034906387,0.54513055
9,0.31599927,0.2757019,0.8289374858140945,0.56213814
10,0.33479553,0.2852127,0.818772703409195,0.5786152
