horizon,MSE,MAE,NSE,RMSE
1,0.106343634,0.14318083,0.9425080455839634,0.32610372
2,0.14086607,0.17089784,0.9238508343696594,0.3753213
3,0.17447309,0.19560821,0.9056884199380875,0.41769975
4,0.20227125,0.21549019,0.8906770497560501,0.44974577
5,0.22965199,0.23187318,0.8757811635732651,0.47922018
6,0.2610658,0.24927199,0.8587322384119034,0.510946
7,0.2798992,0.26095265,0.8484672009944916,0.529055
8,0.3070075,0.27433273,0.8337899595499039,0.5540826
9,0.3222719,0.28269053,0.8255418688058853,0.56768996
10,0.3460632,0.29348192,0.8126734495162964,0.5882714
