epoch,lr-Adam,step,train_loss,train_mse,val_loss,val_mse
,6.706105840074697e-05,0,,,,
0,,49,14.349380493164062,14.349380493164062,,
0,,99,8.266325950622559,8.266325950622559,,
0,,149,4.6596999168396,4.6596999168396,,
0,,199,3.275538206100464,3.275538206100464,,
0,,249,2.359421968460083,2.359421968460083,,
0,,266,,,2.2255353927612305,2.2255353927612305
,6.706105840074697e-05,267,,,,
1,,299,1.7941974401474,1.7941974401474,,
1,,349,1.5756022930145264,1.5756022930145264,,
1,,399,1.7054176330566406,1.7054176330566406,,
1,,449,1.418951392173767,1.418951392173767,,
1,,499,1.4793504476547241,1.4793504476547241,,
1,,533,,,1.2037121057510376,1.2037121057510376
,6.706105840074697e-05,534,,,,
2,,549,1.3224366903305054,1.3224366903305054,,
2,,599,1.1916598081588745,1.1916598081588745,,
2,,649,1.1063506603240967,1.1063506603240967,,
2,,699,1.2056972980499268,1.2056972980499268,,
2,,749,1.2335340976715088,1.2335340976715088,,
2,,799,1.1483910083770752,1.1483910083770752,,
2,,800,,,1.0154787302017212,1.0154787302017212
,6.706105840074697e-05,801,,,,
3,,849,1.0722455978393555,1.0722455978393555,,
3,,899,0.9858514666557312,0.9858514666557312,,
3,,949,1.1032819747924805,1.1032819747924805,,
3,,999,0.9606977701187134,0.9606977701187134,,
3,,1049,1.0057317018508911,1.0057317018508911,,
3,,1067,,,0.9288373589515686,0.9288373589515686
,6.706105840074697e-05,1068,,,,
4,,1099,1.1043403148651123,1.1043403148651123,,
4,,1149,0.8708068132400513,0.8708068132400513,,
4,,1199,0.7983808517456055,0.7983808517456055,,
4,,1249,0.8673529624938965,0.8673529624938965,,
4,,1299,0.9601072669029236,0.9601072669029236,,
4,,1334,,,0.8629894852638245,0.8629894852638245
,6.706105840074697e-05,1335,,,,
5,,1349,1.0374383926391602,1.0374383926391602,,
5,,1399,0.9651773571968079,0.9651773571968079,,
5,,1449,0.9237402081489563,0.9237402081489563,,
5,,1499,0.9630388617515564,0.9630388617515564,,
5,,1549,0.8966020941734314,0.8966020941734314,,
5,,1599,0.8930956125259399,0.8930956125259399,,
5,,1601,,,0.8165431618690491,0.8165431618690491
,6.706105840074697e-05,1602,,,,
6,,1649,0.8371418118476868,0.8371418118476868,,
6,,1699,1.0984728336334229,1.0984728336334229,,
6,,1749,0.8471617698669434,0.8471617698669434,,
6,,1799,0.9195697903633118,0.9195697903633118,,
6,,1849,0.846336305141449,0.846336305141449,,
6,,1868,,,0.7835675477981567,0.7835675477981567
,6.706105840074697e-05,1869,,,,
7,,1899,0.8927909731864929,0.8927909731864929,,
7,,1949,0.919733464717865,0.919733464717865,,
7,,1999,0.8029772043228149,0.8029772043228149,,
7,,2049,0.9065257906913757,0.9065257906913757,,
7,,2099,0.9778881072998047,0.9778881072998047,,
7,,2135,,,0.7610365748405457,0.7610365748405457
,6.706105840074697e-05,2136,,,,
8,,2149,1.0651320219039917,1.0651320219039917,,
8,,2199,0.8914230465888977,0.8914230465888977,,
8,,2249,0.9289371371269226,0.9289371371269226,,
8,,2299,0.8490598797798157,0.8490598797798157,,
8,,2349,1.0108833312988281,1.0108833312988281,,
8,,2399,0.7983961701393127,0.7983961701393127,,
8,,2402,,,0.7357397675514221,0.7357397675514221
,6.706105840074697e-05,2403,,,,
9,,2449,0.7793328166007996,0.7793328166007996,,
9,,2499,0.8973549008369446,0.8973549008369446,,
9,,2549,0.8183253407478333,0.8183253407478333,,
9,,2599,0.8732755780220032,0.8732755780220032,,
9,,2649,0.8386058807373047,0.8386058807373047,,
9,,2669,,,0.7188217043876648,0.7188217043876648
,6.706105840074697e-05,2670,,,,
10,,2699,0.7552595138549805,0.7552595138549805,,
10,,2749,0.8049694895744324,0.8049694895744324,,
10,,2799,0.8717824816703796,0.8717824816703796,,
10,,2849,0.821610152721405,0.821610152721405,,
10,,2899,0.7474043965339661,0.7474043965339661,,
10,,2936,,,0.7151778936386108,0.7151778936386108
,6.706105840074697e-05,2937,,,,
11,,2949,0.7821313142776489,0.7821313142776489,,
11,,2999,0.7711306810379028,0.7711306810379028,,
11,,3049,0.7913636565208435,0.7913636565208435,,
11,,3099,0.6687061190605164,0.6687061190605164,,
11,,3149,0.8454591631889343,0.8454591631889343,,
11,,3199,0.7559060454368591,0.7559060454368591,,
11,,3203,,,0.7011736035346985,0.7011736035346985
,6.706105840074697e-05,3204,,,,
