horizon,MSE,MAE,NSE,RMSE
1,1.4912795,0.42162347,0.7970728278160095,1.2211796
2,2.441398,0.5790014,0.6678052246570587,1.5624974
3,2.832212,0.6533881,0.6148192286491394,1.6829177
4,3.0955014,0.6877687,0.5790771842002869,1.7594037
5,3.2794785,0.73177963,0.5540487170219421,1.8109331
6,3.4367595,0.7693633,0.5326494872570038,1.8538499
7,3.537986,0.79581684,0.5186959803104401,1.8809536
8,3.678011,0.82832974,0.49960607290267944,1.9178141
9,3.7834692,0.8408754,0.48516935110092163,1.9451141
10,3.7935688,0.8573045,0.4837551712989807,1.9477086
