horizon,MSE,MAE,NSE,RMSE
1,0.12154675,0.15481956,0.939305804669857,0.34863555
2,0.16247928,0.17940055,0.9189553037285805,0.4030872
3,0.2017306,0.20395412,0.8994896784424782,0.4491443
4,0.23966004,0.22516307,0.880729116499424,0.48955086
5,0.2751362,0.24603814,0.8632325977087021,0.5245343
6,0.31212428,0.26664752,0.8450323194265366,0.55868083
7,0.3461706,0.28351757,0.8283365964889526,0.58836263
8,0.36681595,0.29535803,0.8183342218399048,0.60565335
9,0.4056613,0.31157255,0.7993763387203217,0.63691545
10,0.43649453,0.32486302,0.7844130843877792,0.6606773
