epoch,lr-Adam,step,train_domain_loss,train_loss,train_task_loss,val_domain_acc,val_loss
,0.0001,0,,,,,
0,,49,0.3237153887748718,0.22573846578598022,0.19336692988872528,,
0,,99,0.2579970955848694,0.20780126750469208,0.18200156092643738,,
0,,149,0.21203036606311798,0.20084628462791443,0.17964324355125427,,
0,,199,0.1821688711643219,0.17473316192626953,0.15651626884937286,,
0,,249,0.1534171849489212,0.18496648967266083,0.16962477564811707,,
0,,299,0.14623786509037018,0.17071734368801117,0.1560935527086258,,
0,,349,0.12585628032684326,0.17795880138874054,0.16537317633628845,,
0,,399,0.12370982021093369,0.20334699749946594,0.19097600877285004,,
0,,449,0.10491573810577393,0.1506892293691635,0.14019764959812164,,
0,,499,0.10818299651145935,0.19521217048168182,0.18439386785030365,,
0,,527,,,,0.972376823425293,0.14927896857261658
,0.0001,528,,,,,
1,,549,0.11578111350536346,0.19030025601387024,0.17872214317321777,,
1,,599,0.09214930236339569,0.20223960280418396,0.193024680018425,,
1,,649,0.1053834855556488,0.17967009544372559,0.16913174092769623,,
1,,699,0.0881328135728836,0.17927102744579315,0.17045775055885315,,
1,,749,0.08478666841983795,0.1775519996881485,0.16907332837581635,,
1,,799,0.07871075719594955,0.15822257101535797,0.15035149455070496,,
1,,849,0.08474478870630264,0.18676848709583282,0.17829400300979614,,
1,,899,0.09281705319881439,0.16282713413238525,0.15354542434215546,,
1,,949,0.07630675286054611,0.17167510092258453,0.16404442489147186,,
1,,999,0.08409769833087921,0.168780118227005,0.1603703498840332,,
1,,1049,0.0864315778017044,0.16577944159507751,0.15713627636432648,,
1,,1055,,,,0.9793443083763123,0.1492472141981125
,0.0001,1056,,,,,
2,,1099,0.08950968086719513,0.17533010244369507,0.1663791388273239,,
2,,1149,0.06278656423091888,0.20305627584457397,0.19677762687206268,,
2,,1199,0.0830245167016983,0.19914571940898895,0.19084326922893524,,
2,,1249,0.07474160939455032,0.16686777770519257,0.15939362347126007,,
2,,1299,0.07178150862455368,0.19941744208335876,0.19223928451538086,,
2,,1349,0.07074247300624847,0.17533113062381744,0.16825687885284424,,
2,,1399,0.06916643679141998,0.18508921563625336,0.17817257344722748,,
2,,1449,0.058647677302360535,0.17303678393363953,0.16717201471328735,,
2,,1499,0.07694900035858154,0.18452031910419464,0.1768254190683365,,
2,,1549,0.07326522469520569,0.16567163169384003,0.15834510326385498,,
2,,1583,,,,0.9820548892021179,0.14939625561237335
,0.0001,1584,,,,,
3,,1599,0.061945099383592606,0.15980330109596252,0.1536087840795517,,
3,,1649,0.0656910166144371,0.17294028401374817,0.1663711816072464,,
3,,1699,0.059233617037534714,0.15924453735351562,0.15332117676734924,,
3,,1749,0.05696294456720352,0.1727464497089386,0.16705015301704407,,
3,,1799,0.07233555614948273,0.15646103024482727,0.14922747015953064,,
3,,1849,0.06868191063404083,0.1718829870223999,0.16501478850841522,,
3,,1899,0.05551516264677048,0.18596190214157104,0.18041038513183594,,
3,,1949,0.05870026350021362,0.16379667818546295,0.15792664885520935,,
3,,1999,0.0675862729549408,0.1774040162563324,0.17064538598060608,,
3,,2049,0.06216294318437576,0.16931791603565216,0.16310162842273712,,
3,,2099,0.05601653456687927,0.16239091753959656,0.15678925812244415,,
3,,2111,,,,0.9829363226890564,0.1495811492204666
,0.0001,2112,,,,,
4,,2149,0.05987069010734558,0.1617913544178009,0.15580429136753082,,
4,,2199,0.06550369411706924,0.1895037293434143,0.1829533576965332,,
4,,2249,0.05239523947238922,0.16685476899147034,0.16161523759365082,,
4,,2299,0.06473249197006226,0.1671823114156723,0.16070906817913055,,
4,,2349,0.06843429803848267,0.1830204576253891,0.1761770248413086,,
4,,2399,0.053983692079782486,0.19451548159122467,0.18911711871623993,,
4,,2449,0.05874302610754967,0.18285103142261505,0.17697672545909882,,
4,,2499,0.07061320543289185,0.1517847329378128,0.14472341537475586,,
4,,2549,0.06795772910118103,0.17224785685539246,0.16545207798480988,,
4,,2599,0.06551305204629898,0.18821905553340912,0.1816677451133728,,
4,,2639,,,,0.9822286367416382,0.14950110018253326
