horizon,MSE,MAE,NSE,RMSE
1,1.9207264,0.9377114,-0.03712344169616699,1.3859028
2,1.9217148,0.93780977,-0.03707480430603027,1.3862593
3,1.9227632,0.93790275,-0.037030577659606934,1.3866373
4,1.9238127,0.9379942,-0.036978960037231445,1.3870158
5,1.9248896,0.93808746,-0.03693270683288574,1.3874038
6,1.9259187,0.93816465,-0.03689146041870117,1.3877747
7,1.9270375,0.9382715,-0.03685557842254639,1.3881778
8,1.9282753,0.9384041,-0.036818623542785645,1.3886236
9,1.9295746,0.9385554,-0.03679955005645752,1.3890913
10,1.9308854,0.938722,-0.03678333759307861,1.3895631
