horizon,MSE,MAE,NSE,RMSE
1,0.046175748,0.08728918,0.975066751241684,0.21488543
2,0.0813467,0.117922135,0.9561003483831882,0.2852134
3,0.11450341,0.14429945,0.9382432848215103,0.33838353
4,0.14452782,0.16633877,0.9220962151885033,0.38016814
5,0.17055276,0.1850752,0.9081236869096756,0.41298035
6,0.19372164,0.20088887,0.8957026228308678,0.4401382
7,0.21388383,0.2143223,0.8849183768033981,0.46247578
8,0.23224817,0.2262576,0.875121958553791,0.48192134
9,0.24916482,0.23683937,0.8661186993122101,0.49916413
10,0.2645833,0.24656582,0.8579327613115311,0.5143766
