number,value,best_epoch,train_size,val_size,test_size,input_length,hidden_size,dropout,learning_rate,num_attention_heads,lstm_layers,variable_selection_method,attn_dropout,add_relative_index,use_revin,context_length_ratio,use_embedding_for_context,encoder_layers
0,0.06044989824295044,26,297974,142725,142907,155,128,0.36599697090570255,0.00015751320499779721,2,1,dot_product,0.18033450352296262,True,True,0.6061695553391381,False,1
1,0.05660378187894821,43,294098,138849,139031,206,72,0.14561457009902096,0.00016738085788752134,2,1,dot_product,0.23555278841790406,False,True,0.8037724259507192,True,3
4,0.05263712629675865,50,305574,150325,150507,55,128,0.3861223846483287,2.497073714505272e-05,1,3,dot_product,0.2313811040057837,False,False,0.811649063413779,True,1
5,0.0579715333878994,23,299190,143941,144123,139,104,0.31877873567760656,0.000594874681321977,4,1,dot_product,0.16838315927084888,True,True,0.5127095633720475,True,2
6,0.05772125720977783,50,299494,144245,144427,135,80,0.4537832369630465,3.151987295193886e-05,4,3,gating,0.0869254358741304,False,True,0.9357302950938589,True,3
7,0.058854203671216965,44,293718,138469,138651,211,112,0.4480456499617466,4.325207525386527e-05,1,1,dot_product,0.258219174976903,False,True,0.5599326836668415,False,1
8,0.056809671223163605,15,294250,139001,139183,204,104,0.181814801189647,0.0008781408196485975,8,1,gating,0.08545214831324029,False,True,0.6393232321183058,True,1
