horizon,MSE,MAE,NSE,RMSE
1,3.7139125,0.47469062,0.7790758609771729,1.9271514
2,5.8426213,0.61581904,0.6525879800319672,2.4171515
3,6.919155,0.7160795,0.5887310206890106,2.6304288
4,7.62915,0.7935986,0.5465618968009949,2.7620916
5,8.110447,0.85174775,0.5182953774929047,2.8478847
6,8.502079,0.8950221,0.4953383803367615,2.9158325
7,8.761071,0.92877007,0.48021382093429565,2.9599106
8,8.928616,0.9606195,0.4701074957847595,2.9880788
9,9.078462,0.988146,0.4609588384628296,3.0130486
10,9.227502,1.010843,0.45190316438674927,3.0376804
