model_type,avg_val_loss,std_val_loss,min_val_loss,max_val_loss,avg_epochs,runs
tsmixer,0.17928717732429506,0.0027859289198485944,0.17680643498897552,0.18282246589660645,17.0,5
ealstm,0.19323430359363555,0.002586672373264206,0.19010479748249054,0.19647718966007233,13.2,5
tide,0.1937800168991089,0.0008598450348954934,0.19272489845752716,0.19506575167179108,22.0,5
tft,0.1778362959623337,0.0026498292237617906,0.17521269619464874,0.18214036524295807,16.8,5
