gauge_id,cluster_0_prob,cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob,cluster_7_prob,cluster_8_prob,cluster_9_prob,cluster_10_prob,cluster_11_prob,cluster_12_prob,cluster_13_prob,cluster_14_prob,predicted_cluster
CA_15013,0.08333333333333333,0.016666666666666666,0.03333333333333333,0.10333333333333333,0.1,0.0033333333333333335,0.02666666666666667,0.0,0.09,0.0,0.016666666666666666,0.0,0.006666666666666667,0.22333333333333333,0.2966666666666667,14
CA_15016,0.056666666666666664,0.013333333333333334,0.03666666666666667,0.043333333333333335,0.06333333333333334,0.0,0.03,0.0,0.01,0.0,0.043333333333333335,0.0,0.0033333333333333335,0.19333333333333333,0.5066666666666667,14
CA_15020,0.043333333333333335,0.023333333333333334,0.023333333333333334,0.023333333333333334,0.05,0.0033333333333333335,0.023333333333333334,0.0,0.013333333333333334,0.0033333333333333335,0.056666666666666664,0.0,0.0,0.13,0.6066666666666667,14
CA_15022,0.05,0.023333333333333334,0.02666666666666667,0.02,0.06333333333333334,0.0033333333333333335,0.023333333333333334,0.0,0.01,0.0033333333333333335,0.06666666666666667,0.0,0.0,0.14666666666666667,0.5633333333333334,14
CA_15025,0.043333333333333335,0.03,0.023333333333333334,0.023333333333333334,0.056666666666666664,0.0033333333333333335,0.016666666666666666,0.0,0.006666666666666667,0.0033333333333333335,0.056666666666666664,0.0,0.0,0.13666666666666666,0.6,14
CA_15030,0.05,0.03,0.03666666666666667,0.06,0.07,0.016666666666666666,0.04,0.0,0.02,0.0033333333333333335,0.07,0.0,0.0033333333333333335,0.17666666666666667,0.42333333333333334,14
CA_15034,0.043333333333333335,0.03666666666666667,0.03333333333333333,0.056666666666666664,0.08,0.02,0.04,0.0,0.023333333333333334,0.0033333333333333335,0.056666666666666664,0.0,0.006666666666666667,0.16666666666666666,0.43333333333333335,14
CA_15039,0.05333333333333334,0.056666666666666664,0.043333333333333335,0.09,0.09333333333333334,0.013333333333333334,0.056666666666666664,0.0,0.043333333333333335,0.0033333333333333335,0.06,0.0033333333333333335,0.006666666666666667,0.15666666666666668,0.32,14
CA_15040,0.03333333333333333,0.02,0.016666666666666666,0.02,0.07,0.0033333333333333335,0.03,0.0,0.02,0.0,0.06666666666666667,0.0,0.0,0.13666666666666666,0.5833333333333334,14
CA_15044,0.043333333333333335,0.02666666666666667,0.043333333333333335,0.03666666666666667,0.08666666666666667,0.006666666666666667,0.02666666666666667,0.0,0.016666666666666666,0.0033333333333333335,0.04,0.0,0.0033333333333333335,0.2,0.4666666666666667,14
