gauge_id,cluster_0_prob,cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob,cluster_7_prob,cluster_8_prob,cluster_9_prob,cluster_10_prob,predicted_cluster
CA_15013,0.17920867874231575,0.07066922323529778,0.026421691215515204,0.006205921099883948,0.050905223685366395,0.014496517027863778,0.06394602636967915,0.06659932527408773,0.03160990510177817,0.18741675625395807,0.30252073199425383,10
CA_15016,0.3202197070926654,0.04131388888888889,0.010366666666666666,0.004688028957306804,0.06969232019705038,0.012041666666666668,0.04873238937724862,0.038322094572094574,0.019098901098901097,0.09553357894754251,0.3399907575349685,10
CA_15020,0.47033962254220874,0.03235575713387087,0.0163448275862069,0.013604442970822283,0.05807820033535634,0.006208333333333332,0.020333325219197583,0.030753968253968256,0.013041666666666665,0.06489980904500539,0.2740400469133636,0
CA_15022,0.43743486063744685,0.033114463601532564,0.013011494252873563,0.020687776304155615,0.06280042255757856,0.006208333333333332,0.021508698353525937,0.0324526862026862,0.014140567765567763,0.07586166642477321,0.28277903056652637,0
CA_15025,0.47452613047871667,0.03902242380053754,0.0163448275862069,0.0031183318597111697,0.06457820033535634,0.006208333333333332,0.020698190084062443,0.030892857142857146,0.013041666666666665,0.06743134057653692,0.26413769813601484,0
CA_15030,0.4155464899289619,0.04396977978081714,0.025446159163613976,0.005696265420403352,0.06390275652731199,0.006592948717948718,0.031461088048452955,0.07420084417498211,0.01219551282051282,0.06784278596219213,0.253145369454803,0
CA_15034,0.4113533063336846,0.04018320664581601,0.031357788642991935,0.005760367984505915,0.06659208554804497,0.006208333333333332,0.03149223200028656,0.059365216201423106,0.004166666666666667,0.07506551181645957,0.2684552848267873,0
CA_15039,0.26421375592002644,0.08701340874954083,0.05065501188011287,0.005975376660040907,0.0878176334548937,0.008148477812177502,0.07382252330826665,0.10404662560729071,0.012763157894736843,0.14100117463576015,0.16454285407715347,0
CA_15040,0.44911239957360644,0.036933908045977,0.0163448275862069,0.020687776304155615,0.04703653366868968,0.006208333333333332,0.021348310693138278,0.0324526862026862,0.008515567765567765,0.06785405654216332,0.29350560028447537,0
CA_15044,0.36551969917056126,0.035864463601532566,0.01859972954699121,0.023531277630415563,0.045380545499770476,0.006592948717948718,0.01839758724241483,0.06264528861942656,0.01219551282051282,0.10081616617339062,0.31045678097703544,0
CA_15045,0.3172204302971312,0.02744444444444445,0.01027777777777778,0.018845843365121212,0.07018810613625737,0.012426282051282052,0.059997896092755326,0.043730214230214226,0.0027014652014652014,0.0976823166846307,0.33948522371892054,10
CA_15049,0.21906078710449603,0.059515716470020325,0.055024702278266266,0.012730645611122669,0.0696045638225144,0.012818807482507175,0.08173257868303761,0.0937436970087956,0.012655099286678234,0.18408146379004162,0.19903193846252004,0
CA_15051,0.14038492712916598,0.07161655368262826,0.026689548358372343,0.022755777097757886,0.08592635724480668,0.010101720647773281,0.10008564838721255,0.06372892443309867,0.018002501884080833,0.18221703693694447,0.2784910041981589,10
CA_15054,0.13350395880230212,0.06460660343387203,0.030215667761357413,0.02683544742742822,0.0786927227201274,0.02240214081584051,0.10489025236532398,0.06534553168205885,0.01100250188408083,0.1870943673180062,0.2754108057896023,10
CA_15069,0.23084887562349188,0.06182810798943803,0.06348152709359606,0.01597718494384779,0.13920304350107748,0.006208333333333332,0.040110508228368535,0.08820661787837296,0.006399612403100775,0.16965304796027478,0.1780831410450984,0
CA_15070,0.21831231099764153,0.07791937783070788,0.059017241379310345,0.021884236225899075,0.13538268898062514,0.007973039215686274,0.055693841561701866,0.0924776262817343,0.002955167958656331,0.15239320886481922,0.17599126070321805,0
CA_15081,0.3356258030611336,0.053386044497374545,0.03612816091954023,0.025759236225899075,0.0923445937425299,0.006208333333333332,0.03614999919716985,0.07965366221334831,0.0063220261962042236,0.11779378357746291,0.210628357036004,0
CA_15083,0.33919723163256216,0.05755271116404122,0.04130057471264368,0.021592569559232406,0.10109459374252992,0.006208333333333332,0.030072412990273297,0.07874233216408724,0.006149612403100776,0.10935987553148589,0.2087297527667101,0
CA_15090,0.260616732766349,0.06365653936198705,0.04119231140732154,0.026131031097693942,0.11433528796893842,0.00835765460030166,0.04361050822836853,0.09432652738063538,0.014220125223613598,0.1502379980625496,0.18331528390224122,0
CA_15102,0.2014768139723206,0.06848415405611098,0.02606891343773742,0.024416330229797722,0.08026274958005676,0.023473569387269078,0.06647807235946508,0.07541696025348743,0.014669168550747498,0.1774202386665851,0.2418330295064223,10
CA_15149,0.29131117721079347,0.05127652068785074,0.029850574712643678,0.020261983478646325,0.1242895220573958,0.009450091575091574,0.029872412990273302,0.08571028088203596,0.011686791890280261,0.12187549930900285,0.22441514520598604,0
CA_15171,0.3521935754721821,0.06656971876207933,0.03806390977443609,0.02436217948717949,0.04765309191886862,0.006592948717948718,0.036658795620893025,0.05182363761969025,0.017941849816849816,0.15259834031478184,0.20554195249509083,0
CA_15189,0.37362728134438655,0.056988018510023955,0.04203216374269006,0.00495940170940171,0.035566195577661934,0.006592948717948718,0.05544527986633249,0.052587831758884394,0.016772688518378175,0.11604794185628457,0.23938024839800737,0
CA_15194,0.373758233725339,0.04476600154231733,0.02845373237014104,0.008121794871794872,0.05936173050250719,0.006592948717948718,0.03088972431077694,0.04743505398110662,0.00930860805860806,0.12072058505149372,0.2705915868679666,0
CA_15212,0.31021840600563316,0.041559447081452525,0.042888256179664845,0.010344017094017095,0.0503050450507347,0.0032596153846153847,0.03598694653299917,0.0486989428699955,0.016994910740600395,0.1470204195323341,0.2927239935279531,0
CA_15214,0.29212454153676876,0.042482271383587164,0.03872158951299817,0.031163461538461536,0.06136707238284908,0.006592948717948718,0.042872081668134304,0.046712831758884396,0.015786782661782663,0.13017745773092737,0.29199896110765783,0
CA_15215,0.32482728134438654,0.05084079628780172,0.03887383040935673,0.004094017094017094,0.057784144295610636,0.006592948717948718,0.04059805764411028,0.04925449842555106,0.017897688518378176,0.11394794185628458,0.29528879540655434,0
CA_15216,0.3563118051539104,0.06465468517669062,0.04279605263157895,0.00395940170940171,0.046328100339566684,0.006592948717948718,0.055617898913951545,0.05558783175888439,0.014272688518378174,0.1250717513800941,0.2288068356995947,0
CA_15256,0.20852515331368718,0.0636937263899929,0.07596846642468238,0.008723922902494331,0.10344696984661987,0.004139705882352941,0.03971429390547228,0.10029902764307363,0.021078457749147406,0.18588379902009675,0.18852647692238048,0
CA_15259,0.20007996573760123,0.08625691332388852,0.0501177441023937,0.015535783455734196,0.09791700312550068,0.012464797457444516,0.045875042646320245,0.1125952007681941,0.01125860805860806,0.1846229711550346,0.1832759701692802,0
CA_15278,0.21529735704194905,0.07769169593258417,0.056458011468710545,0.014038889045796308,0.10203697538624965,0.009825045904649485,0.05216096218655014,0.1064112927222171,0.015633920402436143,0.17161518439307577,0.17883066551578172,0
CA_15283,0.33610087719298226,0.043158653430658875,0.05658573517126149,0.0028055555555555555,0.06514463601532566,0.001875,0.01799091478696742,0.07015193432298694,0.017753457749147404,0.11346716758740351,0.2749660681877107,0
CA_15285,0.25876159147869676,0.05553981106612686,0.06536549707602339,0.024458333333333332,0.06263888888888888,0.0016666666666666666,0.05267543859649122,0.03658248987854251,0.011456043956043955,0.19103756988625414,0.2398176691729324,0
CA_15287,0.3169957184628237,0.03355369995501575,0.05262039903680771,0.008708333333333334,0.06808333333333333,0.0035416666666666665,0.040814327485380116,0.052999156545209175,0.015831043956043955,0.12937989014769197,0.27747243107769426,0
CA_15312,0.3666588079227472,0.04157379623482153,0.035902041516555155,0.027288252732683274,0.10494162678470398,0.00017543859649122806,0.04219710447471502,0.07936447217370454,0.0077640523491196685,0.11237429021036915,0.18176011700408926,0
CA_16055,0.20612912235483882,0.060533060609327866,0.032979832977967305,0.009436546683450708,0.0792922449888625,0.012017525431225123,0.057110811488774615,0.046148016328356876,0.03998075647262953,0.10810201129800809,0.3482700713665586,10
CA_16059,0.19371545162535647,0.07553772548468239,0.022693913437737422,0.015853213350117374,0.06565140721871439,0.013088954002653691,0.05472370147235426,0.08658084212325162,0.03392339716527023,0.1560205429034615,0.2822108512164005,10
CA_16068,0.18962262328228377,0.05552904389635593,0.03271792821606254,0.009257338636595603,0.09036006605668356,0.012374031670084303,0.04378837953091685,0.049542435634540895,0.02830915356573251,0.09301650664512338,0.3954824928656207,10
CA_16070,0.17400014512292036,0.05294864502491228,0.019979832977967304,0.033992353621610585,0.11071836053997806,0.02230410160015423,0.05993286688435942,0.08250930210140735,0.032919168550747495,0.13802929806353018,0.2726659255124126,10
CA_16096,0.3622804406850459,0.035795558192563644,0.028240497076023396,0.004967948717948718,0.04832091806660771,0.001875,0.016078216374269007,0.04016582321187585,0.027342743463433117,0.08879058028581621,0.34614227392641644,0
CA_16100,0.22114013675878472,0.03988669950738917,0.015819444444444445,0.008134326200115673,0.060761394257083906,0.010700091575091575,0.03983991228070176,0.0564818376068376,0.041611974232663884,0.1759133150072351,0.32971086812965217,10
