number,value,best_epoch,train_size,val_size,test_size,input_length,hidden_size,dropout,learning_rate,num_attention_heads,lstm_layers,variable_selection_method,attn_dropout,add_relative_index,use_revin,context_length_ratio,use_embedding_for_context,encoder_layers
0,0.026165461167693138,36,297974,142725,142907,155,128,0.36599697090570255,0.00015751320499779721,2,1,dot_product,0.18033450352296262,True,True,0.6061695553391381,False,1
1,0.025899125263094902,50,294098,138849,139031,206,72,0.14561457009902096,0.00016738085788752134,2,1,dot_product,0.23555278841790406,False,True,0.8037724259507192,True,3
4,0.027161838486790657,50,305574,150325,150507,55,128,0.3861223846483287,2.497073714505272e-05,1,3,dot_product,0.2313811040057837,False,False,0.811649063413779,True,1
5,0.03084603324532509,14,299190,143941,144123,139,104,0.31877873567760656,0.000594874681321977,4,1,dot_product,0.16838315927084888,True,True,0.5127095633720475,True,2
6,0.02786201797425747,48,299494,144245,144427,135,80,0.4537832369630465,3.151987295193886e-05,4,3,gating,0.0869254358741304,False,True,0.9357302950938589,True,3
7,0.027400018647313118,50,293718,138469,138651,211,112,0.4480456499617466,4.325207525386527e-05,1,1,dot_product,0.258219174976903,False,True,0.5599326836668415,False,1
8,0.027363460510969162,20,294250,139001,139183,204,104,0.181814801189647,0.0008781408196485975,8,1,gating,0.08545214831324029,False,True,0.6393232321183058,True,1
