epoch,lr-Adam,step,train_loss,train_mse
,0.003,0,,
0,,49,0.29514408111572266,0.29514408111572266
0,,99,0.3396206796169281,0.3396206796169281
0,,149,0.3174087703227997,0.3174087703227997
0,,199,0.33822202682495117,0.33822202682495117
0,,249,0.31470397114753723,0.31470397114753723
0,,299,0.3678205609321594,0.3678205609321594
0,,349,0.3591506779193878,0.3591506779193878
0,,399,0.46102285385131836,0.46102285385131836
0,,449,0.2734314203262329,0.2734314203262329
0,,499,0.425002783536911,0.425002783536911
0,,549,0.31801024079322815,0.31801024079322815
0,,599,0.3717108964920044,0.3717108964920044
0,,649,0.3482041358947754,0.3482041358947754
0,,699,0.30296215415000916,0.30296215415000916
0,,749,0.4034156799316406,0.4034156799316406
0,,799,0.3003091514110565,0.3003091514110565
0,,849,0.2541029155254364,0.2541029155254364
0,,899,0.28251218795776367,0.28251218795776367
0,,949,0.3091173470020294,0.3091173470020294
0,,999,0.3789968192577362,0.3789968192577362
0,,1049,0.2718805968761444,0.2718805968761444
0,,1099,0.24074657261371613,0.24074657261371613
0,,1149,0.26721665263175964,0.26721665263175964
0,,1199,0.2221023589372635,0.2221023589372635
0,,1249,0.33306685090065,0.33306685090065
0,,1299,0.33301129937171936,0.33301129937171936
0,,1349,0.3009941279888153,0.3009941279888153
0,,1399,0.2322196513414383,0.2322196513414383
0,,1449,0.3241405487060547,0.3241405487060547
0,,1499,0.28320345282554626,0.28320345282554626
0,,1549,0.2463241070508957,0.2463241070508957
0,,1599,0.2399226278066635,0.2399226278066635
0,,1649,0.25493133068084717,0.25493133068084717
0,,1699,0.2540765106678009,0.2540765106678009
0,,1749,0.33698105812072754,0.33698105812072754
0,,1799,0.2970942556858063,0.2970942556858063
0,,1849,0.2761058509349823,0.2761058509349823
0,,1899,0.2827453315258026,0.2827453315258026
0,,1949,0.3373737037181854,0.3373737037181854
0,,1999,0.3324056565761566,0.3324056565761566
0,,2049,0.24740438163280487,0.24740438163280487
0,,2099,0.3231825530529022,0.3231825530529022
0,,2149,0.32466214895248413,0.32466214895248413
0,,2199,0.3410390019416809,0.3410390019416809
0,,2249,0.2941000163555145,0.2941000163555145
0,,2299,0.24795976281166077,0.24795976281166077
0,,2349,0.30704113841056824,0.30704113841056824
0,,2399,0.33007344603538513,0.33007344603538513
0,,2449,0.3359362781047821,0.3359362781047821
0,,2499,0.3623744547367096,0.3623744547367096
0,,2549,0.37334808707237244,0.37334808707237244
0,,2599,0.27086639404296875,0.27086639404296875
0,,2649,0.2312137633562088,0.2312137633562088
0,,2699,0.32410770654678345,0.32410770654678345
0,,2749,0.29160556197166443,0.29160556197166443
0,,2799,0.2477015107870102,0.2477015107870102
0,,2849,0.2151346504688263,0.2151346504688263
