basin_id,horizon,group,MSE,MAE,NSE,RMSE
CA_15020,1,group1,0.21973854,0.2970305,0.9042800292372704,0.4687628
CA_15020,2,group1,0.31171903,0.34886417,0.8642106652259827,0.558318
CA_15020,3,group1,0.39493203,0.39154705,0.8280231058597565,0.6284362
CA_15020,4,group1,0.516741,0.4518193,0.7752299457788467,0.718847
CA_15020,5,group1,0.5997037,0.49406508,0.7394256889820099,0.7744054
CA_15020,6,group1,0.61145115,0.5096946,0.7345770001411438,0.7819534
CA_15020,7,group1,0.67692524,0.54261094,0.7064976990222931,0.8227547
CA_15020,8,group1,0.7981178,0.5904629,0.6546010971069336,0.8933744
CA_15020,9,group1,0.9436276,0.6444758,0.5929499566555023,0.97140497
CA_15020,10,group1,0.99677205,0.66707355,0.571130245923996,0.9983847
CA_15022,1,group1,0.32300994,0.3546613,0.9091094583272934,0.56833965
CA_15022,2,group1,0.40528795,0.40749484,0.8864223808050156,0.6366223
CA_15022,3,group1,0.53595567,0.45637283,0.8504104763269424,0.73208994
CA_15022,4,group1,0.73279405,0.5318737,0.79632169008255,0.8560339
CA_15022,5,group1,0.8623889,0.5819718,0.7612828761339188,0.92864895
CA_15022,6,group1,0.8803078,0.60074836,0.757472887635231,0.9382472
CA_15022,7,group1,1.0044628,0.6497276,0.7246006727218628,1.002229
CA_15022,8,group1,1.1625232,0.7117809,0.6826499104499817,1.0782037
CA_15022,9,group1,1.3127618,0.77012235,0.6433522403240204,1.1457582
CA_15022,10,group1,1.4070723,0.810481,0.6195851862430573,1.1862007
CA_15025,1,group1,0.07939045,0.2015803,0.9130543991923332,0.2817631
CA_15025,2,group1,0.11797081,0.2343468,0.8704256564378738,0.3434688
CA_15025,3,group1,0.14167982,0.24610105,0.8439867347478867,0.3764038
CA_15025,4,group1,0.18093574,0.2738023,0.8003202527761459,0.42536542
CA_15025,5,group1,0.20506516,0.2933434,0.7733332067728043,0.45284122
CA_15025,6,group1,0.19226976,0.2857997,0.787152037024498,0.43848574
CA_15025,7,group1,0.19886741,0.289952,0.7794979512691498,0.44594553
CA_15025,8,group1,0.2478286,0.32455546,0.7254229187965393,0.49782386
CA_15025,9,group1,0.3132651,0.36778575,0.6530255079269409,0.5597009
CA_15025,10,group1,0.32940745,0.38108194,0.6352521181106567,0.5739403
CA_15034,1,group1,2.2144961,0.43844247,0.50287926197052,1.4881183
CA_15034,2,group1,1.3143173,0.47692373,0.7042715549468994,1.1464368
CA_15034,3,group1,1.3523759,0.5492856,0.6950669288635254,1.162917
CA_15034,4,group1,1.6386839,0.6471781,0.6297781765460968,1.280111
CA_15034,5,group1,1.8260587,0.7086005,0.5866453051567078,1.3513174
CA_15034,6,group1,2.0131526,0.7426562,0.5434422194957733,1.4188561
CA_15034,7,group1,2.1522121,0.7868635,0.5110439956188202,1.467042
CA_15034,8,group1,2.320504,0.84254,0.4718470573425293,1.5233201
CA_15034,9,group1,2.53347,0.894741,0.42239272594451904,1.5916878
CA_15034,10,group1,2.627104,0.92111826,0.40012139081954956,1.6208344
CA_15040,1,group1,0.23186544,0.2513158,0.9155455008149147,0.48152408
CA_15040,2,group1,0.27786043,0.29533735,0.8985837772488594,0.5271247
CA_15040,3,group1,0.37403515,0.3433049,0.8632172793149948,0.6115841
CA_15040,4,group1,0.50339013,0.40157327,0.8155697286128998,0.7094999
CA_15040,5,group1,0.6019943,0.44682285,0.7790353149175644,0.7758829
CA_15040,6,group1,0.6587477,0.47273925,0.7577659040689468,0.8116327
CA_15040,7,group1,0.7307604,0.50712657,0.7308152318000793,0.8548452
CA_15040,8,group1,0.81004626,0.53713095,0.7010922729969025,0.9000257
CA_15040,9,group1,0.9084382,0.57200724,0.6642335057258606,0.95312023
CA_15040,10,group1,0.96778905,0.59421223,0.6417329013347626,0.9837627
CA_15044,1,group1,2.2128427,0.4634121,0.53093421459198,1.4875627
