epoch,lr-Adam,step,train_loss,train_mse,val_loss,val_mse
,0.00015930522616241006,0,,,,
0,,49,12.420103073120117,12.420103073120117,,
0,,99,6.234138011932373,6.234138011932373,,
0,,149,3.111531972885132,3.111531972885132,,
0,,199,2.0764265060424805,2.0764265060424805,,
0,,249,1.518752932548523,1.518752932548523,,
0,,265,,,1.592056155204773,1.592056155204773
,0.00015930522616241006,266,,,,
1,,299,1.415142297744751,1.415142297744751,,
1,,349,1.5309346914291382,1.5309346914291382,,
1,,399,1.356094241142273,1.356094241142273,,
1,,449,1.3359421491622925,1.3359421491622925,,
1,,499,1.0943806171417236,1.0943806171417236,,
1,,531,,,1.2029591798782349,1.2029591798782349
,0.00015930522616241006,532,,,,
2,,549,1.1590656042099,1.1590656042099,,
2,,599,1.0398796796798706,1.0398796796798706,,
2,,649,1.076120376586914,1.076120376586914,,
2,,699,1.2217525243759155,1.2217525243759155,,
2,,749,0.8620611429214478,0.8620611429214478,,
2,,797,,,1.0247433185577393,1.0247433185577393
,0.00015930522616241006,798,,,,
3,,799,1.0553276538848877,1.0553276538848877,,
3,,849,1.0385135412216187,1.0385135412216187,,
3,,899,1.0602229833602905,1.0602229833602905,,
3,,949,1.252084732055664,1.252084732055664,,
3,,999,1.1229082345962524,1.1229082345962524,,
3,,1049,1.099798560142517,1.099798560142517,,
3,,1063,,,0.9449971914291382,0.9449971914291382
,0.00015930522616241006,1064,,,,
4,,1099,0.9542824029922485,0.9542824029922485,,
4,,1149,0.9663293957710266,0.9663293957710266,,
4,,1199,0.8378844261169434,0.8378844261169434,,
4,,1249,1.0304765701293945,1.0304765701293945,,
4,,1299,0.8887991309165955,0.8887991309165955,,
4,,1329,,,0.9095170497894287,0.9095170497894287
,0.00015930522616241006,1330,,,,
5,,1349,0.8598976135253906,0.8598976135253906,,
5,,1399,0.8653421401977539,0.8653421401977539,,
5,,1449,0.8397461175918579,0.8397461175918579,,
5,,1499,1.0364398956298828,1.0364398956298828,,
5,,1549,0.9565653204917908,0.9565653204917908,,
5,,1595,,,0.8567835092544556,0.8567835092544556
,0.00015930522616241006,1596,,,,
6,,1599,0.9073560833930969,0.9073560833930969,,
6,,1649,0.9313892722129822,0.9313892722129822,,
6,,1699,0.8894147872924805,0.8894147872924805,,
6,,1749,1.0403507947921753,1.0403507947921753,,
6,,1799,0.9003849029541016,0.9003849029541016,,
6,,1849,0.7922505736351013,0.7922505736351013,,
6,,1861,,,0.843532145023346,0.843532145023346
,0.00015930522616241006,1862,,,,
7,,1899,0.8654544949531555,0.8654544949531555,,
7,,1949,0.8768186569213867,0.8768186569213867,,
7,,1999,0.9611221551895142,0.9611221551895142,,
7,,2049,0.9038314819335938,0.9038314819335938,,
7,,2099,0.8331506848335266,0.8331506848335266,,
7,,2127,,,0.8195447325706482,0.8195447325706482
,0.00015930522616241006,2128,,,,
8,,2149,0.746315598487854,0.746315598487854,,
8,,2199,0.9172860383987427,0.9172860383987427,,
8,,2249,0.7499566674232483,0.7499566674232483,,
8,,2299,0.8999701738357544,0.8999701738357544,,
8,,2349,0.812865674495697,0.812865674495697,,
8,,2393,,,0.7709704041481018,0.7709704041481018
,0.00015930522616241006,2394,,,,
9,,2399,0.8540687561035156,0.8540687561035156,,
9,,2449,0.7888603210449219,0.7888603210449219,,
9,,2499,0.8333489298820496,0.8333489298820496,,
9,,2549,0.7425188422203064,0.7425188422203064,,
9,,2599,0.7780608534812927,0.7780608534812927,,
9,,2649,0.7717950940132141,0.7717950940132141,,
9,,2659,,,0.7871951460838318,0.7871951460838318
,0.00015930522616241006,2660,,,,
10,,2699,0.8696447610855103,0.8696447610855103,,
10,,2749,0.8081764578819275,0.8081764578819275,,
10,,2799,0.768591046333313,0.768591046333313,,
10,,2849,0.7593043446540833,0.7593043446540833,,
10,,2899,0.9521384239196777,0.9521384239196777,,
10,,2925,,,0.7334043383598328,0.7334043383598328
,0.00015930522616241006,2926,,,,
11,,2949,0.7276868224143982,0.7276868224143982,,
11,,2999,0.8471749424934387,0.8471749424934387,,
11,,3049,0.886863648891449,0.886863648891449,,
11,,3099,0.7185134291648865,0.7185134291648865,,
11,,3149,0.6784958243370056,0.6784958243370056,,
11,,3191,,,0.745388925075531,0.745388925075531
,0.00015930522616241006,3192,,,,
12,,3199,0.823291003704071,0.823291003704071,,
12,,3249,0.7276606559753418,0.7276606559753418,,
12,,3299,0.7815775871276855,0.7815775871276855,,
12,,3349,0.8390600085258484,0.8390600085258484,,
12,,3399,0.7182802557945251,0.7182802557945251,,
12,,3449,0.7801511883735657,0.7801511883735657,,
12,,3457,,,0.719890832901001,0.719890832901001
,0.00015930522616241006,3458,,,,
13,,3499,0.7590323090553284,0.7590323090553284,,
13,,3549,0.7872238159179688,0.7872238159179688,,
13,,3599,0.688093364238739,0.688093364238739,,
13,,3649,0.7520472407341003,0.7520472407341003,,
13,,3699,0.6992033123970032,0.6992033123970032,,
13,,3723,,,0.7209835648536682,0.7209835648536682
,0.00015930522616241006,3724,,,,
14,,3749,0.8769991993904114,0.8769991993904114,,
14,,3799,0.7507467269897461,0.7507467269897461,,
14,,3849,0.7184587717056274,0.7184587717056274,,
14,,3899,0.7954548001289368,0.7954548001289368,,
14,,3949,0.8042168617248535,0.8042168617248535,,
14,,3989,,,0.6987628936767578,0.6987628936767578
,0.00015930522616241006,3990,,,,
15,,3999,0.7485033869743347,0.7485033869743347,,
15,,4049,0.7675867676734924,0.7675867676734924,,
15,,4099,0.7350177764892578,0.7350177764892578,,
15,,4149,0.8274408578872681,0.8274408578872681,,
15,,4199,0.7096258997917175,0.7096258997917175,,
15,,4249,0.7167035937309265,0.7167035937309265,,
15,,4255,,,0.6952912211418152,0.6952912211418152
,0.00015930522616241006,4256,,,,
16,,4299,0.7156274914741516,0.7156274914741516,,
16,,4349,0.7768707871437073,0.7768707871437073,,
16,,4399,0.6811828017234802,0.6811828017234802,,
16,,4449,0.8167113661766052,0.8167113661766052,,
16,,4499,0.7111129760742188,0.7111129760742188,,
16,,4521,,,0.6910315752029419,0.6910315752029419
,0.00015930522616241006,4522,,,,
17,,4549,0.7877486348152161,0.7877486348152161,,
17,,4599,0.6464549899101257,0.6464549899101257,,
17,,4649,0.8509876132011414,0.8509876132011414,,
17,,4699,0.6721552014350891,0.6721552014350891,,
17,,4749,0.7650720477104187,0.7650720477104187,,
17,,4787,,,0.7146779298782349,0.7146779298782349
,0.00015930522616241006,4788,,,,
18,,4799,0.7656659483909607,0.7656659483909607,,
18,,4849,0.8320091366767883,0.8320091366767883,,
18,,4899,0.8142485022544861,0.8142485022544861,,
18,,4949,0.7493700981140137,0.7493700981140137,,
18,,4999,0.7372263073921204,0.7372263073921204,,
18,,5049,0.6003486514091492,0.6003486514091492,,
18,,5053,,,0.6865679621696472,0.6865679621696472
,0.00015930522616241006,5054,,,,
19,,5099,0.7873538136482239,0.7873538136482239,,
19,,5149,0.8524139523506165,0.8524139523506165,,
19,,5199,0.8814220428466797,0.8814220428466797,,
19,,5249,0.7956675887107849,0.7956675887107849,,
19,,5299,0.7021373510360718,0.7021373510360718,,
19,,5319,,,0.6704606413841248,0.6704606413841248
